Address,Price,Area,Rooms,Floor,Date,Type,Neighborhood,City
"1","שלמה המלך 103","70.3","02/07/2025","1,575,000 ₪","4024-473-7","דירה בבית קומות","מרכז העיר","לוד"
"2","כהן אלי 15","41.5","29/06/2025","1,145,000 ₪","4024-330-24","דירה בבית קומות","מרכז העיר","לוד"
"3","0","100","26/06/2025","1,766,000 ₪","3961-29-1","דירה בבית קומות","מרכז העיר","לוד"
"4","חנה סנש 2","65.78","11/06/2025","1,230,000 ₪","3961-102-6","דירה בבית קומות","מרכז העיר","לוד"
"5","שלמה המלך 113","81.84","10/06/2025","300,000 ₪","4024-625-24","דירה בבית קומות","מרכז העיר","לוד"
"6","הרצל 29","100.52","03/06/2025","1,780,000 ₪","3962-32-16","דירה בבית קומות","מרכז העיר","לוד"
"7","0","100","22/05/2025","1,776,000 ₪","3961-29-4","דירה בבית קומות","מרכז העיר","לוד"
"8","מרדכי טויטו 2","75","13/05/2025","1,290,000 ₪","3962-147-1","דירה בבית קומות","מרכז העיר","לוד"
"9","הרצל 23","75.46","04/05/2025","2,343,000 ₪","3962-99-1","חנות","מרכז העיר","לוד"
"10","0","79","23/04/2025","2,070,000 ₪","3961-29-5","דירה בבית קומות","מרכז העיר","לוד"
