מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
372,אליקום צונזר 7,79.2,"2021","2100000",6986-119-1,דירה בבית קומות,4,קרקע
373,הכינור 7,56.5,"2021","2010000",6983-37-3,דירה בבית קומות,3,ראשונה
374,בן צבי 113,57,"2021","1715000",6986-169-3,דירה בבית קומות,3,ראשונה
375,בן צבי 111,57,"2021","1655000",6986-168-15,דירה בבית קומות,3,רביעית
376,אופטושו יוסף 4,74.3,"2021","1400000",6985-135-22,דירה בבית קומות,3,ראשונה
377,גיתית 8,65,"2021","1650000",6986-338-28,דירה בבית קומות,3,ראשונה
378,המשלטים 6,44,"2021","1700000",6984-40-4,דירה בבית קומות,2,ראשונה
379,הקשת 23,130,"2021","2450000",7065-224-20,דירה בבית קומות,5,שניה
380,ליוויק 8,74.3,"2021","1500000",6982-292-3,דירה בבית קומות,3,ראשונה
381,לייב גלאנץ 4,97.9,"2021","100000",6982-61-3,קרקע למגורים,לא ידוע,ראשונה
382,שלושת החצים 5,73,"2021","2490000",7065-121-1,דירה בבית קומות,3,ראשונה
383,ישראל גורי 10,76,"2021","2400000",6986-61-1,דירה בבית קומות,4,קרקע
384,0,501,"2021","798000",6970-52-2,מגורים,לא ידוע,לא ידוע
385,החרמש 4,65.59,"2021","2500000",7065-145-4,דירה בבית קומות,3,שניה
386,רינגלבלום 14,79,"2021","2073000",6986-259-3,דירה בבית קומות,4,ראשונה
387,המגן 7,59,"2021","2450000",7065-62-2,דירה בבית קומות,3,ראשונה
388,בורמה 34,50.95,"2021","1550000",7065-217-18,דירה בבית קומות,2,ראשונה
389,דוד אלמוג 1,91.4,"2021","2250000",6970-102-31,דירה בבית קומות,4,שביעית
390,השיירות 1,63.9,"2021","1300000",6984-49-2,דירה בבית קומות,3,קרקע
391,קמינסקה 24,67,"2020","1500000",6986-334-23,דירה בבית קומות,2,ראשונה
392,גורי ישראל 9,110.4,"2020","2370000",6986-153-1,דירה בבית קומות,4,קרקע
393,דרייפוס 4,42.3,"2020","900000",6982-95-3,דירה בבית קומות,3,ראשונה
394,0,501,"2020","1735000",6970-64-1,קומבינציה,לא ידוע,לא ידוע
395,הקשת 2,72,"2020","909000",7065-43-99,דירה בבית קומות,3,עשירית
396,0,לא ידוע,"2020","813000",6984-85-57,קבוצת רכישה - קרקע מגורים,3,שלישית
397,0,500,"2020","3231000",6970-68-1,קומבינציה,לא ידוע,לא ידוע
"398","גבעת כ"ח 3","63","04/12/2020","2270000","6984-99-2","דירה בבית קומות","2","ראשונה"
399,אליקום צונזר 19,57,"2020","2450000",6986-230-2,דירה בבית קומות,3,קרקע
400,המגן 10,89.6,"2020","2450000",7065-71-2,דירה בבית קומות,4,קרקע
401,השופר 6,85.5,"2020","2780000",6984-31-1,דירה בבית קומות,3,קרקע
402,אליקום צונזר 17,101,"2020","2735000",6986-325-3,דירה בבית קומות,3,ראשונה
403,היהודי זיס 9,46.7,"2020","2250000",6986-165-2,דירה בבית קומות,2,קרקע
404,משגב עם 5,56.2,"2020","1500000",7065-212-32,דירה בבית קומות,3,שניה
405,אסירי ציון 12,73,"2020","2325000",6984-102-4,דירה בבית קומות,3,ראשונה
406,ישעיהו ברלין 1,6148,"2020","32120000",6970-103-33,קרקע למגורים,לא ידוע,לא ידוע
407,הקנאים 5,85.1,"2020","1150000",6983-10-2,דירה בבית קומות,4,קרקע
408,אסירי ציון 3,84.7,"2020","100000",6970-102-58,דירה בבית קומות,4,רביעית
409,השופר 8,80,"2020","2590000",6984-30-1,דירה בבית קומות,3.5,קרקע
410,בורמה 20,49.8,"2020","1400000",7065-209-37,דירה בבית קומות,2.5,שלישית
411,החרמש 4,73.36,"2020","2180000",7065-145-3,קרקע למגורים,לא ידוע,שניה
412,גורי ישראל 35,66.8,"2020","2387000",6985-66-5,דירה בבית קומות,3,ראשונה
413,ישראל גורי 60,107.7,"2020","195000",6983-35-2,דירה בבית קומות,4,קרקע
414,משגב עם 16,54.15,"2020","1500000",7065-195-9,דירה בבית קומות,3,שלישית
415,משגב עם 4,54.15,"2020","1020000",7065-216-15,דירה בבית קומות,2,רביעית
416,רינגלבלום 2,48,"2020","1655000",6986-251-4,דירה בבית קומות,2.5,ראשונה
417,שילר 3,46.3,"2020","89000",6985-89-3,דירה בבית קומות,2,ראשונה
418,אליקום צונזר 9,96.7,"2020","2600000",6986-118-1,דירה בבית קומות,4,קרקע
"419","ניל"י 2","53","26/08/2020","2365000","6984-116-4","מגורים","2","ראשונה"
420,0,3070,"2020","2393000",6984-85-58,מגורים,לא ידוע,לא ידוע
421,בורמה 32,50.95,"2020","1120000",7065-217-30,דירה בבית קומות,2,שלישית
422,שמואל כהן-יוחננוף 2,132.3,"2020","4100000",6970-102-115,דירה בבית קומות,5,תשיעית עשירית
423,קפלנסקי 22,101.5,"2020","2420000",6985-173-2,דירה בבית קומות,4,קרקע
424,בורמה 24,50.95,"2020","1200000",7065-209-23,דירה בבית קומות,2,שלישית
425,קפלנסקי 26,56.2,"2020","2220000",6985-124-3,דירה בבית קומות,2,ראשונה
426,אליקום צונזר 16,43,"2020","1800000",6986-88-3,דירה בבית קומות,3,ראשונה
427,קמינסקה 24,94,"2020","2025000",6986-334-24,דירה בבית קומות,4,חמישית
428,זולצר 13,45.1,"2020","1700000",6982-56-4,דירה בבית קומות,2,ראשונה
429,אסירי ציון 19,73,"2020","1850000",6970-101-73,דירה בבית קומות,4,חמישית
430,משגב עם 8,54.15,"2020","1684000",7065-199-2,דירה בבית קומות,3,ראשונה
431,ורשבסקי 9,108.7,"2020","2730000",6986-146-1,דירה בבית קומות,5,קרקע
432,אליקום צונזר 10,58.5,"2020","2000000",6986-145-2,דירה בבית קומות,3,קרקע
433,הקשת 2,72,"2020","1750000",7065-43-91,דירה בבית קומות,3,שמינית
434,ורשבסקי 7,51.7,"2020","250000",6986-143-2,דירה בבית קומות,3,קרקע
435,0,501,"2020","660000",6970-52-3,מגורים,לא ידוע,לא ידוע
436,0,118.8,"2020","2635400",6983-6-2,דירה בבית קומות,4,קרקע
437,מאירבר 7,46.3,"2020","1420000",6983-44-4,דירה בבית קומות,3,ראשונה
438,קמינסקה 10,79,"2020","1465000",6986-175-17,דירה בבית קומות,3,קרקע
439,שמואל כהן-יוחננוף 2,85,"2020","2300000",6970-102-80,דירה בבית קומות,4,קרקע
440,ורשבסקי 20,81,"2020","2290000",6986-332-4,דירה בבית קומות,5,ראשונה
441,המבצעים 1,83.54,"2020","2400000",7065-114-4,דירה בבית קומות,4,שניה
442,שמואל כהן-יוחננוף 2,74.9,"2020","1900000",6970-102-110,דירה בבית קומות,3,שביעית
443,קמינסקה 26,81,"2020","2010000",6986-335-20,דירה בבית קומות,4,חמישית
444,קפלנסקי 3,50,"2020","2250000",6985-77-1,קרקע למגורים,3,ראשונה
445,דרייפוס 6,85.8,"2020","2300000",6982-92-1,דירה בבית קומות,5,קרקע
446,שלמה די-רוסי 8,70.2,"2020","2319000",6983-51-3,דירה בבית קומות,4,ראשונה
447,אסירי ציון 1,77.3,"2020","2100000",6970-102-7,דירה בבית קומות,3,ראשונה
448,דוד אלמוג 1,84.8,"2020","2250000",6970-102-23,דירה בבית קומות,4,חמישית
449,משגב עם 10,41.85,"2020","191000",7065-198-12,דירה בבית קומות,2,שלישית
450,בן צבי 115,57,"2020","1232000",6986-175-10,דירה בבית קומות,3,שלישית
451,בן צבי 115,57,"2020","1500000",6986-175-9,דירה בבית קומות,3,שלישית
452,זולצר 4,82.6,"2020","366000",6982-42-2,דירה בבית קומות,4,קרקע
453,עמיקם 1,61,"2020","179000",6984-104-2,דירה בבית קומות,2,ראשונה
454,קמינסקה 26,81,"2020","2050000",6986-335-21,דירה בבית קומות,4,שישית
455,לייוויק 18,74.85,"2020","1500000",6982-277-18,דירה בבית קומות,3,שלישית
