city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ירושלים,גאולה,5,הישיבה 12,60,2024,700000,30081-168-1,דירה בבית,3,11667
ירושלים,גאולה,6,ראשית חכמה 19,50,2024,1820000,30067-44-1,דירה בבית,2,36400
ירושלים,גאולה,7,0,41,2024,1850000,30083-83-2,דירה בבית,2.5,45122
ירושלים,גאולה,9,מאה שערים 7,66,2024,3165000,30830-15-7,דירה בבית,3,47955
ירושלים,גאולה,10,הישיבה 12,81,2024,2350000,30081-168-2,דירה בבית,3,29012
ירושלים,גאולה,11,יחזקאל 6,49,2024,1150000,30830-3-3,דירה בבית,3,23469
ירושלים,גאולה,12,0,115,2024,3000000,30083-23-10,דירה בבית,4,26087
