מספר סידורי,שם העיר,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,מעלות-תרשיחא,קהילת יהדות צרפת 20,71.9,2025,940000,21093-80-3,דירה בבית,3.5,13074
2,מעלות-תרשיחא,קרן היסוד 316,58.5,2025,725000,18774-1-23,דירה בבית,3,12393
3,מעלות-תרשיחא,הסחלב 11,95.15,2025,762000,21093-96-2,קוטג' דו משפחתי,5,8008
4,מעלות-תרשיחא,אודם 4,80.18,2025,1175000,21091-5-3,דירה בבית,4,14655
5,מעלות-תרשיחא,מורן 5,119,2025,1226000,18438-15-4,דירה בבית,5,10303
6,מעלות-תרשיחא,יסמין 2,117,2025,1900000,19194-12-6,דירה בבית,4,16239
7,מעלות-תרשיחא,מצדה 20,110.95,2025,1345000,21166-83-9,דירה בבית,4,12123
8,מעלות-תרשיחא,הנשיא הרצוג 37,99.8,2025,1450000,21091-22-2,דירה בבית,5,14529
9,מעלות-תרשיחא,הנשיא הרצוג 28,159.07,2025,2310000,21092-21-2,דירה בבית,5,14522
10,מעלות-תרשיחא,0,134,2025,2150000,18428-1-71,דירה בבית,5,16045
11,מעלות-תרשיחא,הסיגליות 27,79.86,2025,875000,18593-12-3,דירה בבית,4,10957
12,מעלות-תרשיחא,קורנית 11,127.64,2025,1470000,19431-5-3,דירה בבית,6,11517
13,מעלות-תרשיחא,0,152,2025,2760000,18428-1-72,דירה בבית,5,18158
14,מעלות-תרשיחא,מירון 18,152,2025,1906000,21166-34-12,דירה בבית,5,12539
15,מעלות-תרשיחא,הדסים 2,145,2025,2050000,18407-6-18,דירה בבית,6,14138
16,מעלות-תרשיחא,הבנים 404,78.3,2025,700000,18739-3-6,דירה בבית,4,8940
17,מעלות-תרשיחא,אלומות 1,104,2025,1420000,18391-1-125,דירה בבית,4,13654
18,מעלות-תרשיחא,חרמון 17,126,2025,1362000,21166-42-2,דירה בבית,4,10810
19,מעלות-תרשיחא,קהילת יהדות צרפת 16,71.9,2025,950000,21093-82-4,דירה בבית,3,13213
20,מעלות-תרשיחא,ירושלים 29,66.18,2025,795000,19435-20-7,דירה בבית,3.5,12013
