מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,המצדים 87,86,"2025","1840000",63616-87-1,דירה בבית קומות,3,ראשונה
2,המצדים 15,252,"2025","2300000",63616-15-1,קוטג' דו משפחתי,4.5,לא ידוע
3,המצדים 2,124,"2024","3153000",63616-103-2,דירה בבית קומות,5,ראשונה
4,המצדים 103,311,"2019","2330000",63616-103-16,דירה בבית קומות,8,לא ידוע
5,המצדים 21,162,"2018","1150000",63616-119-1,דירה בבית קומות,5.5,לא ידוע
6,המצדים 9,215,"2018","2500000",63616-1-136,דירה בבית קומות,8,לא ידוע
7,הרודיון 5,215,"2018","466000",63616-55-11,דירה בבית קומות,6,ראשונה
8,המצדים 9,352,"2017","2685000",63616-1-168,קוטג' דו משפחתי,7,לא ידוע
9,המצדים 95,296,"2016","2530000",63616-82-10,דירה בבית קומות,7.5,לא ידוע
10,הנחלים 16,92,"2015","1199000",32003-33-20,דירה בבית קומות,4,שלישית
11,התלתן 14,89,"2014","1065000",63616-16-91,דירה בבית קומות,3,לא ידוע
12,הרודיון 10,184,"2013","2260000",63616-42-18,קוטג' חד משפחתי,5,לא ידוע
13,הרודיון 6,230,"2007","923000",63616-40-22,דירה בבית קומות,5,לא ידוע
