מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"303","0","180","04/10/2000","524000","39517-114-32","לא ידוע","5","לא ידוע"
"304","0","לא ידוע","14/07/2000","778000","39517-114-33","לא ידוע","9","ראשונה"
"305","הפסגה 113","151","05/07/2000","713000","39945-66-1","לא ידוע","5","לא ידוע"
"306","דוד אלעזר 6","116","11/05/2000","539000","39518-88-3","לא ידוע","4","לא ידוע"
"307","הרכס 9","181","17/04/2000","794000","39945-32-1","לא ידוע","6","לא ידוע"
"308","0","52","09/03/2000","79000","39518-101-5","לא ידוע","2","ראשונה"
"309","הפסגה 17","110","13/02/2000","557000","39517-9-2","לא ידוע","4","לא ידוע"
"310","0","120","24/01/2000","610000","39517-114-34","לא ידוע","5","לא ידוע"
"311","0","120","22/10/1999","854000","39517-114-35","לא ידוע","לא ידוע","לא ידוע"
"312","הפסגה 84","146","17/12/1998","795000","39945-47-1","לא ידוע","5","לא ידוע"
"313","0","120","25/10/1998","200000","39518-101-6","לא ידוע","4","שלישית"
"314","0","לא ידוע","22/10/1998","400000","39518-101-7","לא ידוע","4","לא ידוע"
