מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
2,מעלה אדומים,מצפה נבו,הגילגל 7,265,2025,4000000,63616-39-1,דירה בבית,8,15094
3,מעלה אדומים,מצפה נבו,מצפה נבו 65,99,2023,1600000,63616-44-1,דירה בבית,4,16162
4,מעלה אדומים,מצפה נבו,הגילגל 21,272,2023,4180000,63616-32-1,דירה בבית,8,15368
5,מעלה אדומים,מצפה נבו,מצפה נבו 91,100,2023,1580000,63616-52-5,דירה בבית,3,15800
6,מעלה אדומים,מצפה נבו,הגילגל 47,230,2023,4650000,63616-420-8,קוטג' חד משפחתי,5,20217
7,מעלה אדומים,מצפה נבו,הגילגל 19,336,2022,3900000,63616-19-5,קוטג' חד משפחתי,7,11607
9,מעלה אדומים,מצפה נבו,מצפה נבו 76,170,2022,3040000,63616-17-8,דירה בבית,8,17882
10,מעלה אדומים,מצפה נבו,מצפה נבו 53,95,2022,1320000,63616-41-2,דירה בבית,4,13895
11,מעלה אדומים,מצפה נבו,מצפה נבו 67,90,2022,1520000,63616-44-4,דירה בבית,4,16889
12,מעלה אדומים,מצפה נבו,הגילגל 79,75,2022,1246000,63616-47-1,דירה בבית,3,16613
13,מעלה אדומים,מצפה נבו,מצפה נבו 49,98,2021,1470000,63616-40-4,דירה בבית,4,15000
14,מעלה אדומים,מצפה נבו,מצפה נבו 83,97,2021,1600000,63616-48-1,דירה בבית,5,16495
15,מעלה אדומים,מצפה נבו,מצפה נבו 59,100,2021,1480000,63616-42-7,דירה בבית,4,14800
16,מעלה אדומים,מצפה נבו,מצפה נבו 91,105,2021,1360000,63616-52-12,דירה בבית,4,12952
17,מעלה אדומים,מצפה נבו,מצפה נבו 55,75,2021,1100000,63616-41-4,דירה בבית,3,14667
18,מעלה אדומים,מצפה נבו,מצפה נבו 72,239,2021,2525000,63616-16-34,דירה בבית,7,10565
19,מעלה אדומים,מצפה נבו,מצפה נבו 87,120,2021,1600000,63616-50-4,דירה בבית,4,13333
20,מעלה אדומים,מצפה נבו,מצפה נבו 91,98,2020,1300000,63616-52-14,דירה בבית,3,13265
21,מעלה אדומים,מצפה נבו,מצפה נבו 76,170,2020,2600000,63616-17-23,דירה בבית,8,15294
22,מעלה אדומים,מצפה נבו,מצפה נבו 83,90,2020,1370000,63616-48-2,דירה בבית,3.5,15222
23,מעלה אדומים,מצפה נבו,מצפה נבו 47,82,2020,1140000,63616-39-8,דירה בבית,3,13902
24,מעלה אדומים,מצפה נבו,מצפה נבו 52,146,2020,2700000,63616-1-97,דירה בבית,8,18493
25,מעלה אדומים,מצפה נבו,הגילגל 67,246,2019,3210000,63616-47-2,דירה בבית,8,13049
26,מעלה אדומים,מצפה נבו,הגילגל 29,409,2018,3600000,63616-29-5,קוטג' חד משפחתי,8,8802
27,מעלה אדומים,מצפה נבו,הגילגל 51,256,2018,4000000,63616-21-24,דירה בבית,7,15625
28,מעלה אדומים,מצפה נבו,הגילגל 32,259,2018,3900000,63616-58-3,קוטג' חד משפחתי,1,15058
29,מעלה אדומים,מצפה נבו,מצפה נבו 61,82,2017,1042000,63616-43-1,דירה בבית,3,12707
30,מעלה אדומים,מצפה נבו,מצפה נבו 56,132,2017,2000000,63616-56-10,דירה בבית,5.5,15152
31,מעלה אדומים,מצפה נבו,מצפה נבו 52,106,2017,1825000,63616-5-27,דירה בבית,4,17217
32,מעלה אדומים,מצפה נבו,מצפה נבו 33,74,2017,1125000,63616-35-2,דירה בבית,3.5,15203
33,מעלה אדומים,מצפה נבו,הגילגל 49,256,2017,4000000,63616-22-17,דירה בבית,7,15625
34,מעלה אדומים,מצפה נבו,מצפה נבו 55,90,2017,1049000,63616-41-6,דירה בבית,4,11656
