מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
1,פתח תקווה,כפר אברהם,הרב עוזיאל 43,80,2025,2230000,6400-633-9,דירה בבית,3,27875
2,פתח תקווה,כפר אברהם,שמואל חיים לנדוי 29,230,2025,5500000,6400-252-6,דירה בבית,7,23913
3,פתח תקווה,כפר אברהם,הרב מאיר אורבך 13,75.46,2025,1964000,6355-86-7,דירה בבית,4,26027
4,פתח תקווה,כפר אברהם,הרב מאיר אורבך 5,81.01,2024,510000,6355-88-2,דירה בבית,4,6296
5,פתח תקווה,כפר אברהם,הרב יצחק ריינס 47,195,2024,262000,6400-107-1,דירה בבית,8,1344
7,פתח תקווה,כפר אברהם,שמואל חיים לנדוי 1,141.19,2024,4100000,6400-536-8,דירה בבית,7,29039
10,פתח תקווה,כפר אברהם,הרב עוזיאל 56,134,2023,858000,6400-476-1,דירת,5,6403
11,פתח תקווה,כפר אברהם,הרב עוזיאל 56,146,2023,2575000,6400-476-2,דירה בבית,5,17637
12,פתח תקווה,כפר אברהם,הרב יצחק ריינס 55,130,2023,3600000,6400-111-1,קוטג' דו משפחתי,5,27692
13,פתח תקווה,כפר אברהם,בר אילן 28,163,2023,2200000,6400-133-2,דירה בבית,5,13497
14,פתח תקווה,כפר אברהם,שמואל חיים לנדוי 29,241,2023,5025000,6400-252-7,דירה בבית,5,20851
17,פתח תקווה,כפר אברהם,שמואל חיים לנדוי 29,190,2023,4555000,6400-252-8,דירה בבית,6,23974
19,פתח תקווה,כפר אברהם,שמואל חיים לנדוי 9,168.5,2022,4300000,6400-635-3,דירה בבית,7,25519
20,פתח תקווה,כפר אברהם,שמואל חיים לנדוי 29,246,2022,4260000,6400-252-9,קוטג' דו משפחתי,7,17317
21,פתח תקווה,כפר אברהם,יהושע שטמפפר 104,107.6,2022,2470000,6355-81-20,דירה בבית,4,22955
23,פתח תקווה,כפר אברהם,הרב עוזיאל 52,176,2022,3600000,6400-134-2,דירה בבית,6,20455
26,פתח תקווה,כפר אברהם,בר אילן 26,156.5,2022,670000,6400-135-1,דירה בבית,5,4281
28,פתח תקווה,כפר אברהם,הרב יצחק ריינס 3,188,2022,3500000,6400-410-5,דירה בבית,6,18617
30,פתח תקווה,כפר אברהם,יהושע שטמפפר 104,93.2,2021,1840000,6355-81-19,דירה בבית,4,19742
31,פתח תקווה,כפר אברהם,הרב יצחק ריינס 3,157,2021,3190000,6400-410-6,דירה בבית,6,20318
32,פתח תקווה,כפר אברהם,רמחל 3,88.06,2021,1690000,6400-591-14,דירה בבית,4,19191
35,פתח תקווה,כפר אברהם,הרב עוזיאל 43,96,2021,1900000,6400-633-8,דירה בבית,5,19792
36,פתח תקווה,כפר אברהם,הרב עוזיאל 43,70,2021,1300000,6400-633-7,דירה בבית,3,18571
37,פתח תקווה,כפר אברהם,שמואל חיים לנדוי 11,166.8,2021,3500000,6400-635-6,דירה בבית,7,20983
38,פתח תקווה,כפר אברהם,הרב עוזיאל 43,75,2021,1580000,6400-633-6,דירה בבית,3,21067
39,פתח תקווה,כפר אברהם,הרב יצחק ריינס 3,200,2021,3385000,6400-410-7,קוטג' דו משפחתי,7,16925
40,פתח תקווה,כפר אברהם,בר אילן 1,189,2021,607000,6400-113-1,קוטג' דו משפחתי,5,3212
41,פתח תקווה,כפר אברהם,דבורה הנביאה 8,253,2021,418000,6400-163-1,קוטג' חד משפחתי,6,1652
