מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"62","גלגל הפלדה 11","539","28/04/2021","10085000","6420-27-16","משרד","לא ידוע","ראשונה"
"63","משכית 22","600","18/04/2021","4425000","6420-85-62","משרד","לא ידוע","לא ידוע"
"64","גלגל הפלדה 11","251","22/03/2021","4700000","6420-27-15","משרד","לא ידוע","ראשונה"
"65","0","196","17/03/2021","3978000","6592-98-1","משרד","לא ידוע","שלישית"
"66","גלגל הפלדה 11","453","10/03/2021","7970000","6420-27-14","משרד","לא ידוע","שניה"
"67","חרש 3","179","03/03/2021","1320000","6420-94-4","משרד","לא ידוע","שלישית"
"68","המנופים 2","132","18/02/2021","4250000","6592-27-27","משרד","לא ידוע","שניה"
"69","משכית 22","4256","16/02/2021","187000","6420-85-0","חניה","לא ידוע","לא ידוע"
"70","חרש 3","144","25/01/2021","1800000","6420-94-3","משרד","לא ידוע","שלישית"
"71","המנופים 2","88","17/01/2021","3000000","6592-27-26","משרד","לא ידוע","שניה"
"72","המנופים 8","33","30/12/2020","222000","6592-105-52","מחסנים","לא ידוע","לא ידוע"
"73","חרש 3","640","17/11/2020","4750000","6420-94-2","משרד","לא ידוע","שניה"
"74","אריה שנקר 5","18336","25/05/2020","36322000","6592-132-1","מסחרי + מגורים","לא ידוע","לא ידוע"
"75","ישעיהו ליבוביץ 1","3990","26/03/2020","22500000","6592-146-1","מסחרי + משרדים","לא ידוע","לא ידוע"
"76","אריה שנקר 4","לא ידוע","25/03/2020","2255000","6592-68-2","משרד","לא ידוע","לא ידוע"
"77","מדינת היהודים 99","234.05","23/02/2020","4900000","6518-248-7","חנות","לא ידוע","קרקע"
"78","המדע 6","1000","25/12/2019","464000","6518-247-17","חניה","לא ידוע","לא ידוע"
"79","משכית 22","416.03","19/12/2019","720000","6420-85-28","מחסנים","לא ידוע","ראשונה"
"80","0","191","15/08/2019","1938000","6592-98-2","משרד","לא ידוע","ראשונה"
"81","המנופים 9","3804","08/08/2019","62999000","6592-140-2","משרד","לא ידוע","שלישית"
"82","המנופים 6","2007","23/07/2019","1730000","6592-29-10","קרקע למגורים","לא ידוע","לא ידוע"
"83","המנופים 2","84","20/06/2019","2590000","6592-27-25","משרד","לא ידוע","שניה"
"84","משכית 22","459","17/04/2019","3500000","6420-85-63","משרד","לא ידוע","לא ידוע"
"85","הסדנאות 4","27","26/03/2019","1350000","6592-110-20","משרד","לא ידוע","לא ידוע"
"86","נעמי שמר 1","10908","02/01/2019","94872000","6420-81-4","משרד","לא ידוע","חמישית"
"87","0","1200","14/08/2018","15648000","6592-98-4","משרד","לא ידוע","רביעית"
"88","יד חרוצים 9","148","09/08/2018","2884206","6420-44-91","דירה","6","לא ידוע"
"89","משכית 22","41.62","27/07/2018","894000","6420-85-38","חנות","לא ידוע","ראשונה"
"90","משכית 15","97.2","18/07/2018","1350000","6420-54-17","חנות","לא ידוע","ראשונה וגלריה"
"91","0","246","21/06/2018","2398000","6592-98-5","בניני ציבור","לא ידוע","לא ידוע"
"92","יד חרוצים 9","127","02/06/2018","2468752","6420-44-90","דירה","5","לא ידוע"
"93","יד חרוצים 9","78","31/05/2018","1566281","6420-44-89","דירה","3","לא ידוע"
