מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
2,ירושלים,בית ישראל,0,71.9,2025,503000,30088-252-67,דירה בבית,3,6996
4,ירושלים,בית ישראל,אשכנזי 23,42,2025,822000,30091-13-8,דירה בבית,2,19571
5,ירושלים,בית ישראל,0,78,2025,2000000,30086-106-6,דירת גן,3,25641
6,ירושלים,בית ישראל,0,108,2025,3950000,30088-302-10,דירה בבית,5,36574
7,ירושלים,בית ישראל,אשכנזי 25,26,2025,1250000,30091-14-6,דירה בבית,2,48077
15,ירושלים,בית ישראל,הרב עדני 5,75,2025,840000,30086-58-1,דירה בבית,3,11200
16,ירושלים,בית ישראל,חבשוש 2,45,2025,900000,30086-53-1,דירה בבית,2,20000
19,ירושלים,בית ישראל,0,78,2025,3525000,30088-64-2,דירה בבית,4,45192
23,ירושלים,בית ישראל,0,43,2024,2200000,30087-9-1,דירה בבית,2,51163
25,ירושלים,בית ישראל,שמואל הנביא 25,35,2024,1400000,30088-88-2,דירה בבית,2,40000
26,ירושלים,בית ישראל,0,83.9,2024,3450000,30086-271-1,דירה בבית,3,41120
28,ירושלים,בית ישראל,0,103,2024,4080000,30091-30-1,דירה בבית,4,39612
29,ירושלים,בית ישראל,שמואל הנביא 55,65,2024,3050000,30091-56-9,דירה בבית,3,46923
31,ירושלים,בית ישראל,0,45,2024,2150000,30087-113-1,דירה בבית,3,47778
32,ירושלים,בית ישראל,יצחק בלזר 8,106,2024,3500000,30086-98-1,דירה בבית,4,33019
34,ירושלים,בית ישראל,0,60,2024,2500000,30087-113-2,דירה בבית,3,41667
35,ירושלים,בית ישראל,0,85,2024,2050000,30088-75-1,דירה בבית,4,24118
36,ירושלים,בית ישראל,יוסף קארו 6,40,2024,400000,30091-37-3,דירה בבית,2,10000
38,ירושלים,בית ישראל,0,90.4,2024,3685000,30087-274-13,דירה בבית,4,40763
41,ירושלים,בית ישראל,0,39,2024,1400000,30087-183-1,דירה בבית,2,35897
43,ירושלים,בית ישראל,0,124.5,2024,71000,30086-238-3,דירה בבית,5,570
46,ירושלים,בית ישראל,אשכנזי 42,66,2024,1600000,30091-22-10,דירה בבית,3,24242
48,ירושלים,בית ישראל,0,64,2024,1113000,30087-6-2,דירה בבית,3,17391
49,ירושלים,בית ישראל,0,52,2024,2250000,30087-204-1,דירה בבית,2,43269
50,ירושלים,בית ישראל,0,79.1,2024,1200000,30087-92-2,דירה בבית,4,15171
51,ירושלים,בית ישראל,אשכנזי 40,63.4,2024,2500000,30091-24-5,דירה בבית,2.5,39432
54,ירושלים,בית ישראל,0,59.6,2024,3000000,30087-20-15,דירה בבית,3,50336
55,ירושלים,בית ישראל,בית ישראל 35,44.3,2024,1300000,30091-29-4,דירה בבית,2,29345
56,ירושלים,בית ישראל,0,88.45,2024,3924000,30087-122-1,דירה בבית,4,44364
58,ירושלים,בית ישראל,0,109,2024,170000,30087-155-1,דירה בבית,5,1560
59,ירושלים,בית ישראל,0,62,2024,1473000,30087-113-3,דירה בבית,3,23758
62,ירושלים,בית ישראל,0,103,2024,5400000,30088-274-5,דירה בבית,5,52427
63,ירושלים,בית ישראל,0,60,2024,2630000,30088-51-2,דירה בבית,3,43833
66,ירושלים,בית ישראל,אשכנזי 7,50,2024,1700000,30087-169-1,דירה בבית,3,34000
68,ירושלים,בית ישראל,0,51.9,2024,2298000,30088-99-1,דירה בבית,3,44277
69,ירושלים,בית ישראל,0,77,2024,3000000,30086-10-2,דירה בבית,4,38961
72,ירושלים,בית ישראל,0,108,2023,3200000,30086-169-2,דירה בבית,3,29630
73,ירושלים,בית ישראל,אשכנזי 7,50,2023,2200000,30087-169-3,דירה בבית,3,44000
75,ירושלים,בית ישראל,רייכמן 21,75,2023,2600000,30087-119-1,דירה בבית,3.5,34667
76,ירושלים,בית ישראל,0,70,2023,2700000,30087-74-1,דירה בבית,3,38571
81,ירושלים,בית ישראל,שמואל הנביא 57,43,2023,1890000,30091-57-10,דירה בבית,2,43953
82,ירושלים,בית ישראל,חכמי לובלין 37,85,2023,2600000,30087-148-1,דירה בבית,3,30588
87,ירושלים,בית ישראל,0,73,2023,3100000,30088-302-9,דירה בבית,3.5,42466
88,ירושלים,בית ישראל,פולונסקי 18,60,2023,2400000,30091-4-4,דירה בבית,2,40000
89,ירושלים,בית ישראל,שמואל הנביא 25,65,2023,2360000,30088-88-4,דירה בבית,3,36308
92,ירושלים,בית ישראל,הרב עדני 5,75,2023,840000,30086-58-2,דירה בבית,3,11200
93,ירושלים,בית ישראל,0,83,2023,4285000,30088-271-38,דירה בבית,4,51627
95,ירושלים,בית ישראל,0,44.3,2023,1540000,30087-60-7,דירה בבית,1.5,34763
98,ירושלים,בית ישראל,רייכמן 17,72,2023,2800000,30087-124-1,דירה בבית,3,38889
99,ירושלים,בית ישראל,0,69,2023,1450000,30086-229-4,דירה בבית,3,21014
100,ירושלים,בית ישראל,0,91.65,2023,1131000,30088-6-1,דירה בבית,4,12340
101,ירושלים,בית ישראל,0,53.2,2023,2385000,30087-92-5,דירה בבית,3,44831
104,ירושלים,בית ישראל,0,68,2023,2079000,30088-159-1,דירה בבית,2,30574
106,ירושלים,בית ישראל,יוסף קארו 34,48.08,2023,1770000,30091-1-9,דירה בבית,2,36814
107,ירושלים,בית ישראל,0,28,2023,610000,30087-9-3,דירה בבית,1,21786
109,ירושלים,בית ישראל,0,92,2023,1250000,30087-45-3,דירה בבית,5,13587
110,ירושלים,בית ישראל,0,40,2023,2000000,30087-177-1,דירה בבית,3,50000
111,ירושלים,בית ישראל,יוסף קארו 34,38.18,2023,1430000,30091-1-3,דירה בבית,2,37454
112,ירושלים,בית ישראל,יוסף קארו 34,62.95,2023,2400000,30091-1-6,דירה בבית,2,38125
116,ירושלים,בית ישראל,הרב חיים שאול עבוד 27,160,2023,2250000,30087-131-1,דירה בבית,5,14063
122,ירושלים,בית ישראל,פולונסקי 18,37,2023,270000,30091-5-2,דירה בבית,3,7297
123,ירושלים,בית ישראל,0,31,2023,200000,30087-177-5,דירה בבית,2,6452
124,ירושלים,בית ישראל,0,123.4,2023,4591800,30088-252-24,דירה בבית,4,37211
125,ירושלים,בית ישראל,מאה שערים 51,80,2023,2400000,30086-13-1,דירה בבית,3,30000
128,ירושלים,בית ישראל,שמואל הנביא 57,100,2023,4209000,30091-57-9,דירה בבית,1,42090
130,ירושלים,בית ישראל,0,62,2023,2210000,30087-96-3,דירה בבית,3,35645
131,ירושלים,בית ישראל,אשכנזי 7,30,2023,312000,30087-169-7,דירה בבית,3,10400
132,ירושלים,בית ישראל,0,60,2023,1880000,30087-9-5,דירה בבית,3,31333
133,ירושלים,בית ישראל,0,81.4,2023,3980000,30086-88-2,דירה בבית,4,48894
134,ירושלים,בית ישראל,0,60,2023,2200000,30087-96-5,דירה בבית,3,36667
135,ירושלים,בית ישראל,שמואל הנביא 25,70,2023,1340000,30088-88-5,דירה בבית,4,19143
136,ירושלים,בית ישראל,0,40,2023,1850000,30086-23-1,דירה בבית,3,46250
137,ירושלים,בית ישראל,0,62,2023,2200000,30087-96-7,דירה בבית,3,35484
138,ירושלים,בית ישראל,0,58,2023,1368000,30087-113-4,דירה בבית,3,23586
140,ירושלים,בית ישראל,0,70,2023,1400000,30088-45-2,דירה בבית,3.5,20000
141,ירושלים,בית ישראל,0,20.5,2023,600000,30086-210-3,דירה בבית,1,29268
143,ירושלים,בית ישראל,מאה שערים 63,42,2023,416000,30086-6-4,דירה בבית,2,9905
144,ירושלים,בית ישראל,0,62,2023,2300000,30088-240-15,דירה בבית,3,37097
145,ירושלים,בית ישראל,0,40,2023,1600000,30086-86-1,דירה בבית,2,40000
146,ירושלים,בית ישראל,0,72,2023,1800000,30087-60-12,דירה בבית,4,25000
147,ירושלים,בית ישראל,שערי פינה 9,98,2023,2500000,30086-250-1,דירה בבית,4,25510
149,ירושלים,בית ישראל,0,110,2022,5540000,30088-271-45,דירה בבית,4,50364
150,ירושלים,בית ישראל,אשכנזי 23,35,2022,1400000,30091-13-5,דירה בבית,2,40000
151,ירושלים,בית ישראל,שמואל הנביא 57,32,2022,900000,30091-57-6,דירה בבית,2,28125
153,ירושלים,בית ישראל,0,57.1,2022,1750000,30087-92-8,דירה בבית,3,30648
156,ירושלים,בית ישראל,0,57,2022,1200000,30086-149-2,דירה בבית,2,21053
157,ירושלים,בית ישראל,0,55.5,2022,1950000,30087-171-13,דירה בבית,3,35135
158,ירושלים,בית ישראל,רייכמן 27,49,2022,1750000,30087-114-1,דירה בבית,3,35714
159,ירושלים,בית ישראל,שמואל הנביא 55,27,2022,800000,30091-56-7,דירה בבית,1,29630
160,ירושלים,בית ישראל,0,38,2022,1100000,30087-57-3,דירה בבית,2,28947
161,ירושלים,בית ישראל,0,78,2022,4000000,30087-52-1,דירה בבית,3,51282
162,ירושלים,בית ישראל,0,88,2022,4500000,30087-52-2,דירה בבית,4,51136
163,ירושלים,בית ישראל,0,73.9,2022,2800000,30086-75-2,דירה בבית,3,37889
164,ירושלים,בית ישראל,0,84,2022,2700000,30087-48-1,דירה בבית,4,32143
165,ירושלים,בית ישראל,0,150,2022,5554500,30086-46-1,דירה בבית,9,37030
166,ירושלים,בית ישראל,0,98.6,2022,3500000,30088-267-10,דירה בבית,5,35497
170,ירושלים,בית ישראל,אשכנזי 23,50.1,2022,1970000,30091-13-9,דירה בבית,2.5,39321
174,ירושלים,בית ישראל,0,123,2022,4194000,30088-271-46,דירה בבית,4,34098
175,ירושלים,בית ישראל,0,62,2022,1890000,30086-86-2,דירה בבית,3,30484
176,ירושלים,בית ישראל,שמואל הנביא 55,65,2022,1670000,30091-56-6,דירה בבית,3,25692
177,ירושלים,בית ישראל,0,121,2022,4292000,30088-271-49,דירה בבית,4,35471
178,ירושלים,בית ישראל,0,48.7,2022,1675000,30087-92-6,דירה בבית,3,34394
179,ירושלים,בית ישראל,פולונסקי 17,146.05,2022,4500000,30091-156-1,דירה בבית,7,30811
