מספר סידורי,שם העיר,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
905,אריאל,רמת הגולן 3,97,2016,1240000,73570-702-5,דירה בבית,4,12784
906,אריאל,ששת הימים 20,90,2016,1000000,73570-2091-10,דירה בבית,3,11111
907,אריאל,הגלעד 24,132,2016,1420000,73570-24-6,קוטג' דו משפחתי,5,10758
908,אריאל,מוריה 5,90,2016,999000,73570-279-2,דירה בבית,4,11100
909,אריאל,מוריה 3,76,2016,1080000,73570-474-9,דירה בבית,3,14211
910,אריאל,צהל 15,100,2016,1150000,73570-15-5,דירה בבית,4,11500
911,אריאל,האלון 22,221,2016,2190000,73570-102-1,קוטג' חד משפחתי,1,9910
914,אריאל,ששת הימים 17,70,2016,830000,73570-2090-5,דירה בבית,3,11857
915,אריאל,הקוממיות 4,160,2016,2269000,73570-7-10,קוטג' חד משפחתי,6,14181
916,אריאל,שער הגיא 13,115,2016,1130000,73570-486-1,דירה בבית,5,9826
917,אריאל,הנגב 43,114,2016,1050000,73570-182-2,דירה בבית,5,9211
918,אריאל,ששת הימים 1,50,2016,680000,73570-2092-6,דירה בבית,2,13600
920,אריאל,הנחשונים 11,92,2016,1145000,73570-345-1,דירה בבית,4,12446
921,אריאל,צהל 16,96,2016,1120000,73570-1077-4,דירה בבית,4,11667
922,אריאל,מבצע חירם 2,126,2016,1337000,73570-2-22,קוטג' דו משפחתי,5,10611
923,אריאל,גנים 1,95,2016,1050000,73570-4-17,דירת גן,4,11053
924,אריאל,מוריה 15,92,2016,1125000,73570-279-3,דירה בבית,4,12228
926,אריאל,רמת הגולן 13,92,2016,1050000,73570-1-56,דירה בבית,4,11413
928,אריאל,מבצע עובדה 8,98,2016,1100000,73570-218-1,דירה בבית,4,11224
929,אריאל,הסביונים 4,72,2016,699000,73570-4-18,דירה בבית,3,9708
930,אריאל,שער הגיא 13,80,2016,1035000,73570-187-2,דירה בבית,3.5,12938
931,אריאל,הפסגה 21,80,2016,830000,73570-1016-4,דירה בבית,3,10375
932,אריאל,הבשן 50,112,2016,1380000,73570-233-1,קוטג' דו משפחתי,5,12321
933,אריאל,האצל 5,151,2016,1499000,73570-35-6,קוטג' דו משפחתי,6,9927
934,אריאל,הגלעד 11,120,2016,1250000,73570-145-2,קוטג' דו משפחתי,5,10417
935,אריאל,עפרון 1,88,2016,800000,73570-211-2,דירה בבית,3,9091
936,אריאל,הדקל 1,153,2016,1657000,73570-685-1,קוטג' חד משפחתי,5,10830
937,אריאל,הסביונים 6,90,2016,795000,73570-3-17,דירה בבית,4,8833
938,אריאל,מוריה 11,131,2016,1205000,73570-474-10,דירה בבית,5,9198
939,אריאל,רמת הגולן 2,108,2016,1380000,73570-409-1,דירה בבית,4,12778
940,אריאל,הפסגה 21,77,2016,930000,73570-2017-1,דירת גן,3,12078
941,אריאל,אבנר 14,79,2016,780000,73570-14-4,דירה בבית,3,9873
942,אריאל,שער הגיא 14,120,2016,1284000,73570-428-4,דירה בבית,5,10700
943,אריאל,יפה נוף 5,95,2016,1250000,73570-41-6,דירה בבית,4,13158
944,אריאל,שער הגיא 11,115,2016,1345000,73570-18-13,דירה בבית,5,11696
945,אריאל,הפסגה 21,103,2016,1000000,73570-21-11,דירה בבית,4,9709
946,אריאל,הנגב 55,69,2016,1339000,73570-2077-5,קוטג' דו משפחתי,2,19406
947,אריאל,מוריה 18,95,2016,1110000,73570-195-5,דירה בבית,4,11684
948,אריאל,ששת הימים 1,84,2016,850000,73570-16-7,דירה בבית,3,10119
949,אריאל,אבנר 24,160,2016,1300000,73570-86-2,דירה בבית,7,8125
950,אריאל,שער הגיא 18,116,2016,1179000,73570-420-3,דירה בבית,4,10164
951,אריאל,הירדן 9,150,2016,1630000,73570-518-4,קוטג' דו משפחתי,6,10867
952,אריאל,האצל 25,126,2016,1225000,73570-225-3,קוטג' דו משפחתי,5,9722
953,אריאל,אבנר 26,94,2016,1134000,73570-87-1,דירת גן,4,12064
954,אריאל,הסביונים 5,107,2016,1180000,73570-166-1,דירת גן,4,11028
955,אריאל,מוריה 11,129,2016,1270000,73570-474-11,דירה בבית,5,9845
956,אריאל,הערבה 67,160,2016,1570000,73570-36-4,דירה בבית,6,9813
957,אריאל,הנחשונים 15,104,2016,1020000,73570-4-19,דירת גן,4,9808
958,אריאל,הנגב 5,97,2016,1230000,73570-1064-3,קוטג' דו משפחתי,4,12680
959,אריאל,הנגב 40,77,2016,915000,73570-2091-11,דירה בבית,3,11883
960,אריאל,הקוממיות 2,134,2016,1094000,73570-2-23,דירה בבית,6,8164
961,אריאל,הבשן 33,75,2016,1150000,73570-170-1,דירת גן,3,15333
962,אריאל,ששת הימים 15,69,2016,760000,73570-2089-15,דירה בבית,3,11014
963,אריאל,שער הגיא 24,92,2016,1180000,73570-208-4,דירת גן,4,12826
964,אריאל,יפה נוף 7,105,2016,1259000,73570-41-7,דירת גן,4,11990
965,אריאל,שער הגיא 14,117,2016,1100000,73570-428-5,דירה בבית,4,9402
966,אריאל,הנחשונים 53,152,2016,1374000,73570-117-1,דירה בבית,8,9039
967,אריאל,הפסגה 40,90,2016,1120000,73570-40-3,דירה בבית,5,12444
968,אריאל,יפה נוף 14,75,2016,980000,73570-528-4,דירה בבית,3,13067
969,אריאל,כלניות 2,96,2016,820000,73570-62-2,דירה בבית,4,8542
970,אריאל,שער הגיא 17,96,2016,960000,73570-446-7,דירה בבית,4,10000
971,אריאל,אבנר 1,87,2016,880000,73570-4-20,דירה בבית,3.5,10115
973,אריאל,מוריה 15,96,2016,1099000,73570-279-4,דירה בבית,4,11448
974,אריאל,אבנר 22,180,2016,1774000,73570-270-2,דירת גן,6,9856
975,אריאל,הבשן 38,132,2016,1250000,73570-239-1,קוטג' דו משפחתי,5,9470
976,אריאל,החרמון 7,75,2016,666000,73570-539-1,קוטג' דו משפחתי,3,8880
977,אריאל,אבנר 2,116,2016,1199000,73570-2102-2,דירת גן,4,10336
978,אריאל,שניר 9,127,2016,1240000,73570-523-4,דירה בבית,4,9764
979,אריאל,ששת הימים 16,76,2016,835000,73570-2089-16,דירה בבית,4,10987
980,אריאל,אבנר 9,76,2016,810000,73570-8-15,דירה בבית,3,10658
981,אריאל,מבצע קדש 9,159,2016,1560000,73570-2033-2,קוטג' דו משפחתי,6,9811
982,אריאל,יפה נוף 7,100,2016,1100000,73570-41-8,דירה בבית,4,11000
983,אריאל,שער הגיא 12,150,2016,1350000,73570-429-3,דירה בבית,6,9000
985,אריאל,עיר היונה 12,105,2016,1160000,73579-509-1,דירת גן,5,11048
986,אריאל,ששת הימים 3,82,2016,905000,73570-2036-5,דירת גן,3,11037
987,אריאל,התבור 3,96,2016,1100000,73570-441-5,דירת גן,4,11458
988,אריאל,ששת הימים 2,101,2016,947000,73570-2040-6,דירה בבית,4,9376
989,אריאל,התבור 3,98,2016,1060000,73570-441-6,דירת גן,4,10816
990,אריאל,גנים 1,205,2016,1590000,73570-4-21,דירה בבית,7,7756
991,אריאל,השקמה 4,120,2016,1180000,73570-736-1,קוטג' דו משפחתי,5,9833
992,אריאל,הגליל 8,130,2016,1365000,73570-8-16,דירת גן,5,10500
993,אריאל,עפרון 10,83,2016,770000,73570-10-12,דירה בבית,4,9277
994,אריאל,גנים 33,177,2016,1250000,73570-4-22,דירה בבית,7,7062
995,אריאל,אילות 10,167,2016,1695000,73570-10-13,קוטג' דו משפחתי,6,10150
996,אריאל,צהל 1,90,2016,820000,73570-1035-1,דירה בבית,3,9111
