מספר סידורי,שם העיר,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
3,כפר קרע,א-רוחה 1,180,2025,1600000,12124-32-3,קוטג' חד משפחתי,5,8889
5,כפר קרע,א-ס'יף 1,200,2025,1800000,12128-28-2,קוטג' חד משפחתי,5,9000
