מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
1,אשקלון,ברנע,חיים סלע 6,180,2025,2750000,1935-234-4,דירה בבית,6,15278
2,אשקלון,ברנע,גדעון בן יואש 39,97.94,2025,1450000,1937-419-31,דירה בבית,4,14805
3,אשקלון,ברנע,קדש 37,148.5,2025,3400000,1935-230-117,דירה בבית,5,22896
4,אשקלון,ברנע,בדולח 4,1004,2025,3630000,1937-163-1,דירה בבית,5,3616
5,אשקלון,ברנע,גדעון בן יואש 39,92.2,2025,1459500,1937-419-36,דירה בבית,4,15830
6,אשקלון,ברנע,ירושלים 29,102.97,2025,1330000,1933-42-35,דירה בבית,4.5,12916
7,אשקלון,ברנע,עתניאל 16,172,2025,3700000,1937-249-1,דירה בבית,6,21512
8,אשקלון,ברנע,קדש 37,126.4,2025,1765000,1935-230-126,דירה בבית,5,13964
9,אשקלון,ברנע,גדעון בן יואש 40,107.9,2025,1550000,1937-422-13,דירה בבית,4,14365
10,אשקלון,ברנע,ירושלים 29,121.81,2025,1520000,1933-42-17,דירה בבית,5,12478
11,אשקלון,ברנע,צלופחד 4,263,2025,3400000,1937-70-1,קוטג' דו משפחתי,5,12928
12,אשקלון,ברנע,צבי סגל 14,321.23,2025,4200000,1937-263-1,דירה בבית,6,13075
13,אשקלון,ברנע,חיים סלע 6,97,2025,1480000,1935-234-5,דירה בבית,4,15258
14,אשקלון,ברנע,בדולח 9,160,2025,3318000,1937-169-3,דירה בבית,5,20738
15,אשקלון,ברנע,צבי סגל 46,330,2025,5800000,1937-348-1,דירה בבית,5,17576
16,אשקלון,ברנע,גדעון בן יואש 31,81.57,2025,1450000,1937-417-64,דירה בבית,4,17776
17,אשקלון,ברנע,גדעון בן יואש 43,116.5,2025,1470000,1937-421-37,דירה בבית,5,12618
18,אשקלון,ברנע,קדש 39,84.1,2025,1530000,1935-230-81,דירה בבית,3.5,18193
19,אשקלון,ברנע,צבי סגל 74,202,2025,2400000,1937-333-2,קוטג' דו משפחתי,6,11881
20,אשקלון,ברנע,גדעון בן יואש 40,107.6,2025,1510000,1937-422-11,דירה בבית,4,14033
22,אשקלון,ברנע,בדולח 3,227,2025,4100000,1937-172-2,דירה בבית,7,18062
23,אשקלון,ברנע,איילון 1,107.9,2025,1530000,1937-425-16,דירה בבית,4,14180
24,אשקלון,ברנע,אבא אחימאיר 103,82,2025,1800000,1938-51-13,דירה בבית,4,21951
25,אשקלון,ברנע,ירושלים 33,82.7,2024,1200000,1933-41-19,דירה בבית,4,14510
26,אשקלון,ברנע,תרצה 5,283,2024,4000000,1937-90-2,קוטג' חד משפחתי,7,14134
28,אשקלון,ברנע,גדעון בן יואש 41,101.5,2024,1450000,1937-421-6,דירה בבית,4,14286
31,אשקלון,ברנע,מלכיט 3,204,2024,4700000,1937-446-2,קוטג' חד משפחתי,5,23039
32,אשקלון,ברנע,ירושלים 25,70,2024,366000,1933-43-11,דירה בבית,4,5229
33,אשקלון,ברנע,ירושלים 29,102.97,2024,1220000,1933-42-29,דירה בבית,4,11848
34,אשקלון,ברנע,אבא אחימאיר 105,82,2024,1480000,1938-52-2,דירה בבית,4,18049
36,אשקלון,ברנע,גדעון בן יואש 31,81.57,2024,1300000,1937-417-55,דירה בבית,4,15937
37,אשקלון,ברנע,איילון 1,107.9,2024,1590000,1937-425-9,דירה בבית,4,14736
38,אשקלון,ברנע,יקותיאל אדם 10,278,2024,4800000,1938-397-2,קוטג' חד משפחתי,8,17266
39,אשקלון,ברנע,גדעון בן יואש 37,111.2,2024,1540000,1937-419-17,דירה בבית,5,13849
41,אשקלון,ברנע,קדש 39,84.1,2024,1680000,1935-230-97,דירה בבית,3.5,19976
42,אשקלון,ברנע,עתניאל 24,143.3,2024,2150000,1937-245-1,קוטג' דו משפחתי,5.5,15003
