מספר סידורי,שם העיר,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
220,כפר קאסם,0,160,2015,600000,8879-19-3,קוטג' דו משפחתי,6,3750
221,כפר קאסם,0,106,2015,1285000,8866-9-1,דירה,4,12123
223,כפר קאסם,0,400,2015,499000,8871-58-1,קוטג' דו משפחתי,5,1248
224,כפר קאסם,0,120,2015,599000,9082-65-1,דירה בבית,5,4992
