מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,דימונה,גיורא יוספטל,הסנהדרין 16,53.7,2025,570000,39510-76-6,דירה בבית,3,10615
2,דימונה,גיורא יוספטל,המכבים 247,73,2025,450000,39510-51-13,דירה בבית,4,6164
3,דימונה,גיורא יוספטל,הסנהדרין 14,53.7,2025,560000,39510-75-6,דירה בבית,3,10428
4,דימונה,גיורא יוספטל,הסנהדרין 276,49.3,2025,440000,39510-77-17,דירה בבית,3,8925
5,דימונה,גיורא יוספטל,מג המעפילים 229,36,2025,500000,39510-38-16,דירה בבית,2,13889
6,דימונה,גיורא יוספטל,הסנהדרין 14,53.7,2025,550000,39510-75-34,דירה בבית,3,10242
7,דימונה,גיורא יוספטל,בר כוכבא 3,49.3,2025,485000,39510-31-14,דירה בבית,3,9838
8,דימונה,גיורא יוספטל,יגאל אלון 29,63.8,2025,570000,39510-27-51,דירה בבית,3,8934
9,דימונה,גיורא יוספטל,המכבים 246,49.5,2025,560000,39510-50-3,דירה בבית,3.5,11313
10,דימונה,גיורא יוספטל,מתתיהו הכהן 249,38.2,2025,450000,39510-68-18,דירה בבית,2,11780
11,דימונה,גיורא יוספטל,בר כוכבא 3,49.3,2025,600000,39510-31-6,דירה בבית,3,12170
12,דימונה,גיורא יוספטל,עזרא ונחמיה 27,49.3,2025,520000,39510-44-27,דירה בבית,3,10548
13,דימונה,גיורא יוספטל,מג המעפילים 245,63.8,2025,100000,39510-35-29,דירה בבית,3,1567
14,דימונה,גיורא יוספטל,בר כוכבא 1,75.2,2025,580000,39510-32-11,דירה בבית,4,7713
15,דימונה,גיורא יוספטל,עזרא ונחמיה 27,49.3,2025,560000,39510-44-17,דירה בבית,3,11359
16,דימונה,גיורא יוספטל,עזרא ונחמיה 243,49.3,2025,470000,39510-34-12,דירה בבית,3,9533
17,דימונה,גיורא יוספטל,בר כוכבא 9,49.3,2025,550000,39510-28-24,דירה בבית,2.5,11156
18,דימונה,גיורא יוספטל,יגאל אלון 29,63.8,2025,495000,39510-27-45,דירה בבית,3,7759
19,דימונה,גיורא יוספטל,בר כוכבא 1,63.7,2025,550000,39510-32-14,דירה בבית,3.5,8634
