Area Name,Area ID,Type
"טריק אל-מקאייל","6540110","Street"
"א-שיתאא","6540154","Street"
"אבו הוריירה","6540147","Street"
"טריק א-ס'נדחאווי","6540107","Street"
"עומר בן אל-עאס'","6540312","Street"
"אל-חוסיין בן עלי","6540354","Street"
"ח'אלד בן אל-וליד","6540228","Street"
"טריק אל-וסייה","6540113","Street"
"אל-ביר","6540237","Street"
"אל-קודס","6540139","Street"
"חמזה בן עבד אל-מוטליב","6540289","Street"
"א-ריבאט","6540207","Street"
"א-סולטאן","6540361","Street"
"א-תל","6540339","Street"
"א-נידאא","6540320","Street"
"עלי חידר זחאלקה","6540203","Street"
"אל-מיזאן","6540334","Street"
"א-סינדיאנה","6540245","Street"
"עומר אל-מוכתאר","6540315","Street"
"בילאל בן רבאח","6540195","Street"
"אבן ח'לדון","6540311","Street"
"סת אל-חבאייב","6540224","Street"
"קבאא א-דאירי","6540194","Street"
"א-סלאם","6540220","Street"
"טארק בן זיאד","6540152","Street"
"א-ס'יף","6540145","Street"
"ס'אלח א-דין","6540670","Street"
"אל-מותנבי","6540266","Street"
"נדאא אל-חק","6540250","Street"
"א-שוג'עאן","6540333","Street"
"עומר בן אל-ח'טאב","6540293","Street"
"שבאט","6540208","Street"
"א-ריאן","6540185","Street"
"אל-מרווה","6540214","Street"
"ח'ליל א-סכאכיני","6540231","Street"
"אל-פרח","6540305","Street"
"אל-אח'טל","6540151","Street"
"אל-עקד","6540101","Street"
"אל-איזדיהאר","6540328","Street"
"א-ס'חווה","6540225","Street"
"הארון א-רשיד","6540229","Street"
"עמאר בן יאסר","6540197","Street"
"ביאדרנא","6540202","Street"
"טאהא חוסיין","6540121","Street"
"אל-ברג'","6540344","Street"
"א-נג'אח","6540120","Street"
"אל-ואס'ל","6540694","Street"
"אל-קמר","6540167","Street"
"אל-משמש","6540114","Street"
"אסמאא בנת אבו בכר","6540294","Street"
"א-זוהור","6540332","Street"
"א-זנבק","6540213","Street"
"אל-ג'ורי","6540708","Street"
"א-רחמה","6540198","Street"
"אל-חיכמה","6540118","Street"
"אל-מית'אק","6540300","Street"
"א-סיידה זינב","6540170","Street"
"בדר","6540243","Street"
"סלמאן אל-פארסי","6540322","Street"
"אל-אמאני","6540274","Street"
"טריק אל-כבארה","6540364","Street"
"בורג' אל-חמאם","6540174","Street"
"ביסאן","6540164","Street"
"עלי בן אבי טאליב","6540175","Street"
"אבן סינא","6540119","Street"
"א-נאוורס","6540134","Street"
"זהרת ג'בר","6540132","Street"
"א-נסים","6540622","Street"
"אל-פארוק","6540252","Street"
"אב","6540155","Street"
"חסאן בן ת'אבת","6540142","Street"
"עאישה בנת אבו בכר","6540163","Street"
"אל-אס'יל","6540355","Street"
"עין ורדה","6540691","Street"
"א-סלמה","6540281","Street"
"סיוואר","6540279","Street"
"אל-פאראבי","6540330","Street"
"אל-עיראק","6540158","Street"
"אל-ג'אמע","6540299","Street"
"אוחוד","6540246","Street"
"אל-ג'נאת","6540204","Street"
"סונדוס","6540308","Street"
"אל-ח'ריף","6540288","Street"
"אל-ירמוכ","6540128","Street"
"א-סונדוס","6540286","Street"
"מועאווייה","6540270","Street"
"אל-קורונפול","6540215","Street"
"יזיד בן מועאוויה","6540317","Street"
"א-סיידה סארה","6540233","Street"
"א-זהרה","6540176","Street"
"אל-חמרא","6540271","Street"
"תמוז","6540180","Street"
"א-נזלה","6540254","Street"
"ראמה","6540665","Street"
"אל-וסים","6540222","Street"
"עות'מאן בן עפאן","6540248","Street"
"אל-פוראת","6540287","Street"
"אל-אנדלוס","6540295","Street"
"א-ס'דרה","6540166","Street"
"אחמד שאוקי","6540309","Street"
"אל-באבור","6540314","Street"
"אל-ר'זאלי","6540331","Street"
"אל-אמירה","6540162","Street"
"אבו סופיאן","6540244","Street"
"שט אל-ערב","6540258","Street"
"אל-מורג'אן","6540201","Street"
"אל-מוח'תאר","6540205","Street"
"אל-פתח","6540219","Street"
"א-רוודה","6540277","Street"
"אל-מדארס","6540345","Street"
"עאר תור","6540654","Street"
"אל-עין","6540342","Street"
"אבו חניפה","6540184","Street"
"ג'מאדי א-ת'אני","6540183","Street"
"ס'ידא","6540704","Street"
"אל-מוודה","6540349","Street"
"ס'ור","6540182","Street"
"ח'סנאא","6540652","Street"
"אל-ח'יראת","6540357","Street"
"אל-חס'ון","6540161","Street"
"אל-עס'פור","6540160","Street"
"אל-פרזדק","6540159","Street"
"א-רר'ד","6540646","Street"
"א-רחיק","6540644","Street"
"סג'א","6540651","Street"
"א-ס'חאבה","6540350","Street"
"אל-חמאמה","6540181","Street"
"אל-חסנאת","6540144","Street"
"אל-וסילה","6540187","Street"
"א-נג'ווא","6540251","Street"
"מוחמד אל-פאתח","6540662","Street"
"שעבאן","6540264","Street"
"סירין","6540206","Street"
"אום ח'לאד","6540259","Street"
"אל-ח'לוד","6540674","Street"
"אל-בנין","6540255","Street"
"א-סיידה אמנה","6540256","Street"
"א-סיידה סמייה","6540257","Street"
"איאת","6540675","Street"
"א-סיידה האג'ר","6540260","Street"
"אל-מעריפה","6540102","Street"
"אל-ח'דר","6540627","Street"
"מרג'אנה","6540178","Street"
"א-נרג'יס","6540351","Street"
"אל-חנין","6540209","Street"
"אל-מנארה","6540660","Street"
"א-סריס","6540211","Street"
"אל-מנס'ור","6540210","Street"
"אל-בשרא","6540676","Street"
"אל-ח'טאב","6540677","Street"
"בורקה","6540261","Street"
"פאטמה א-זהראא","6540117","Street"
"אל-ג'דאוול","6540263","Street"
"אל-חמה","6540267","Street"
"אל-וידאד","6540226","Street"
"רמדאן","6540268","Street"
"אל-אקס'א","6540216","Street"
"אל-ח'וואריזמי","6540381","Street"
"אל-מיעאד","6540687","Street"
"סלסביל","6540686","Street"
"תופיק אל-חכים","6540122","Street"
"אל-מרג'","6540124","Street"
"אל-אזהר","6540125","Street"
"א-ס'קר","6540123","Street"
"אבו תמאם","6540234","Street"
"אבו אל-קאסם א-שאבי","6540232","Street"
"אל-אסראא","6540217","Street"
"סנאבל","6540218","Street"
"ר'אר חראא","6540667","Street"
"א-סד אל-עאלי","6540137","Street"
"אל-מזארע","6540619","Street"
"א-לוטוס","6540133","Street"
"א-שאפיעי","6540697","Street"
"אד'אר","6540199","Street"
"אל-אבראר","6540247","Street"
"טריק אל-ג'ולאן","6540369","Street"
"עס'פור אל-ג'נה","6540685","Street"
"סוק עוקאד","6540684","Street"
"א-זעפראני","6540680","Street"
"ד'ו אל-חיג'ה","6540291","Street"
"א-סד","6540683","Street"
"אל-ר'דיר","6540678","Street"
"מוחרם","6540282","Street"
"אבן רושד","6540682","Street"
"אל-אחיבה","6540127","Street"
"א-ריאד","6540387","Street"
"חזיראן","6540336","Street"
"אל-ח'רוב","6540338","Street"
"א-ריחאן","6540700","Street"
"אבן בטוטה","6540703","Street"
"ד'ו אל-קעדה","6540269","Street"
"א-דחא","6540327","Street"
"אום אל-ג'מאל","6540262","Street"
"א-נור","6540143","Street"
"א-ס'אלחייה","6540352","Street"
"א-תנסים","6540664","Street"
"א-ראזי","6540329","Street"
"איאר","6540706","Street"
"א-שאם","6540343","Street"
"אל-בלסם","6540115","Street"
"אל-בוח'ארי","6540126","Street"
"יאפא","6540138","Street"
"אל-קרע","6540642","Street"
"אל-וחדה","6540153","Street"
"א-טיוור","6540641","Street"
"א-סנאבל","6540149","Street"
"רג'ב","6540135","Street"
"א-רסאם","6540325","Street"
"א-נהאר","6540616","Street"
"אבו בכר א-ס'דיק","6540200","Street"
"אל-ג'וז","6540106","Street"
"אל-מדינה אל-מונוורה","6540360","Street"
"אל-אחראש","6540169","Street"
"א-ס'נובר","6540156","Street"
"א-זהראא","6540304","Street"
"אל-חס'אד","6540157","Street"
"אל-קאדי","6540168","Street"
"א-שיח'","6540148","Street"
"אל-מזאר","6540635","Street"
"א-זינה","6540301","Street"
"ג'ודי","6540324","Street"
"אל-אנוואר","6540310","Street"
"אל-את'אר","6540298","Street"
"א-סיראג'","6540297","Street"
"אל-עבאס","6540337","Street"
"אל-חיאה","6540701","Street"
"רביע א-ת'אני","6540104","Street"
"אל-יאסמין","6540240","Street"
"אל-ר'וזלאן","6540239","Street"
"אל-חור","6540673","Street"
"א-זעפראן","6540672","Street"
"אל-הודא","6540362","Street"
"א-זנג'ביל","6540636","Street"
"ס'יפר","6540242","Street"
"אל-מנס'ורה","6540620","Street"
"א-סלווא","6540618","Street"
"כאנון אל-אוול","6540230","Street"
"אל-חורייה","6540626","Street"
"אל-חילווה","6540223","Street"
"אל-חנאן","6540227","Street"
"א-דאחיה","6540666","Street"
"ניסאן","6540196","Street"
"ריחאנה","6540283","Street"
"ח'ובייזה","6540690","Street"
"א-רוחה","6540284","Street"
"א-זובייר בן אל-עוואם","6540326","Street"
"עין שחאדה","6540692","Street"
"אל-כווכב","6540600","Street"
"יאסמינה","6540108","Street"
"אל-אמיר","6540109","Street"
"טריק אל-חווארנה","6540366","Street"
"אל-עמור","6540189","Street"
"אל-ורוד","6540191","Street"
"ח'אן אל-ח'לילי","6540171","Street"
"אבו זינה","6540172","Street"
"א-זהרייה","6540693","Street"
"אל-בראא","6540285","Street"
"שוואל","6540273","Street"
"אל-באטין","6540272","Street"
"טריק א-דסת","6540370","Street"
"אל-איחסאן","6540275","Street"
"אל-פיום","6540276","Street"
"אל-אקרם","6540278","Street"
"סלמא","6540323","Street"
"ג'אנת","6540601","Street"
"אל-כרם","6540111","Street"
"תשרין","6540241","Street"
"רפידה","6540165","Street"
"אל-עימראן","6540648","Street"
"אל-ג'אר","6540146","Street"
"אל-איח'לאס","6540695","Street"
"אבו ח'ושום","6540290","Street"
"נוסרין","6540306","Street"
"אל-ח'נסאא","6540303","Street"
"א-ליל","6540150","Street"
"טריק אל-ביאדר","6540280","Street"
"אל-עסר","6540637","Street"
"חאתים א-טאאי","6540640","Street"
"אבן תיימיה","6540630","Street"
"ג'נא","6540629","Street"
"א-נעמאן","6540186","Street"
"א-זיתון","6540193","Street"
"א-טלה","6540192","Street"
"א-סווסן","6540658","Street"
"ליאלינא","6540190","Street"
