מספר סידורי,שם העיר,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
12,אום אל-פחם,אל-אנדלוס 6,202,2025,1500000,20340-115-1,דירה בבית,5,7426
20,אום אל-פחם,אל-ארשאד 1,173,2025,900000,20342-1-4,קוטג' חד משפחתי,5,5202
21,אום אל-פחם,אל-משאעל 1,162,2025,900000,20342-4-5,קוטג' חד משפחתי,5,5556
40,אום אל-פחם,בג'דאד 47,130,2024,750000,20452-34-3,דירה בבית,4,5769
45,אום אל-פחם,אל-מעריפה 7,146,2024,550000,20341-29-2,דירה בבית,5,3767
49,אום אל-פחם,ג'לאל א-דין א-רומי 9,207,2024,1400000,20433-18-1,קוטג' חד משפחתי,5,6763
73,אום אל-פחם,א-שרפה 30,100,2024,450000,20418-5-3,דירה בבית,3,4500
82,אום אל-פחם,קיסאריה 10,524,2024,2300000,20339-11-4,דירה בבית,1,4389
95,אום אל-פחם,עין א-ד'רווה 18,80,2024,417000,20406-41-1,דירת גן,3,5213
97,אום אל-פחם,א-שאם 19,245,2023,1919000,20418-30-2,קוטג' חד משפחתי,5,7833
99,אום אל-פחם,אפאק 23,215,2023,1300000,20449-27-2,קוטג' דו משפחתי,5,6047
107,אום אל-פחם,א-טברי 1,204,2023,380000,20417-31-2,דירה בבית,6,1863
119,אום אל-פחם,אפאק 23,267,2023,1600000,20449-27-1,קוטג' חד משפחתי,8,5993
123,אום אל-פחם,א-רסאלה 5,75,2023,200000,20410-25-2,דירה בבית,3,2667
127,אום אל-פחם,יוסוף אידריס 1,125,2023,750000,20406-78-1,דירה בבית,4,6000
129,אום אל-פחם,בג'דאד 47,177,2023,1755000,20452-34-1,קוטג' חד משפחתי,1,9915
130,אום אל-פחם,אבן אל-מוקפע 8,141,2023,170000,20407-44-1,דירה בבית,5,1206
142,אום אל-פחם,אל-חדאדין 1,109,2023,1200000,20315-4-3,קוטג' דו משפחתי,4,11009
154,אום אל-פחם,אבן כת'יר 2,254,2022,1500000,20339-35-2,דירה בבית,5,5906
155,אום אל-פחם,א-שועלה 1,385,2022,1000000,20418-28-1,דירה בבית,5,2597
166,אום אל-פחם,אל-חדאדין 1,180,2022,1200000,20315-4-2,קוטג' חד משפחתי,5,6667
168,אום אל-פחם,עין אל-וסטא 4,307,2022,900000,20409-26-1,דירה בבית,8,2932
