מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"67","ששת הימים 1","82.29","09/02/2016","1560000","6426-380-8","דירה בבית קומות","4","רביעית"
"68","זאב גלר 19","60","24/01/2016","1500000","6426-592-2","דירה בבית קומות","3","א"
"69","הדרור 6","125.87","25/11/2015","2220000","6426-649-25","דירה בבית קומות","6","שביעית+גג"
"70","סוקולוב 18","88.54","20/10/2015","1545000","6426-650-24","דירה בבית קומות","4","ששית"
"71","סוקולוב 20","150.04","01/09/2015","2535000","6426-651-25","דירה בבית קומות","6","תשיעית"
"72","סוקולוב 18","91.75","12/07/2015","1400000","6426-650-18","דירה בבית קומות","4","חמישית"
"73","ששת הימים 5","85.7","09/06/2015","1369000","6426-378-10","דירה בבית קומות","4","ב"
"74","הפרדס 8","114","11/05/2015","1849000","6426-670-6","דירה בבית קומות","5","שניה"
"75","גאולה 32","154.01","24/12/2014","2600000","6426-669-22","דירה בבית קומות","6","שישית"
"76","הפרדס 8","114","12/11/2014","1920000","6426-670-10","דירה בבית קומות","5","שלישית"
"77","סוקולוב 20","130.68","23/09/2014","1830000","6426-651-15","דירה בבית קומות","5","חמישית"
"78","גאולה 23","122.49","21/09/2014","1700000","6426-647-23","דירה בבית קומות","4","ששית"
"79","הפרדס 6","116.24","04/09/2014","1940000","6426-666-27","דירה בבית קומות","5.5","שלישית"
"80","הפרדס 8","114","28/08/2014","1850000","6426-670-2","דירה בבית קומות","5","ראשונה"
"81","הדרור 6","131.81","02/06/2014","1700000","6426-649-12","דירה בבית קומות","5","שלישית"
"82","הדרור 6","131.81","06/04/2014","1825000","6426-649-20","דירה בבית קומות","5","חמישית"
"83","ששת הימים 5","85.7","24/12/2013","1270000","6426-378-13","דירה בבית קומות","3","ג"
"84","גאולה 23","139.8","10/11/2013","1575000","6426-647-13","דירה בבית קומות","5","רביעית"
"85","הפרדס 8","114","17/07/2013","1645000","6426-670-1","דירה בבית קומות","5","ראשונה"
"86","ששת הימים 3","70.2","09/07/2013","1299000","6426-379-3","דירה בבית קומות","4","קרקע"
"87","גאולה 30","107.92","09/07/2013","1559000","6426-668-2","דירה בבית קומות","4","ראשונה"
"88","ששת הימים 11","100.81","08/07/2013","1749000","6426-984-5","דירה בבית קומות","4","ראשונה"
"89","גאולה 26","139.6","13/05/2013","2149000","6426-667-30","דירה בבית קומות","6","חמישית+גג"
"90","גאולה 26","122.37","26/04/2013","1650000","6426-667-27","דירה בבית קומות","5","רביעית"
"91","ששת הימים 1","82.29","28/03/2013","1250000","6426-380-4","דירה בבית קומות","4","שניה"
"92","הפרדס 6","133.67","11/03/2013","1969000","6426-666-15","דירה בבית קומות","5","ה' ושישית"
