מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
2,רעננה,קריית דוד רמז,אליעזר יפה 24,101,2025,3650000,6580-614-4,דירה בבית,4,36139
3,רעננה,קריית דוד רמז,בר אילן 45,96.11,2025,3000000,6580-756-5,דירה בבית,4,31214
4,רעננה,קריית דוד רמז,היובל 23,96.75,2025,3250000,6580-884-26,דירה בבית,4,33592
5,רעננה,קריית דוד רמז,מכבי 51,100,2025,3560000,6580-89-11,דירה בבית,4,35600
7,רעננה,קריית דוד רמז,מכבי 6,105,2025,3000000,6580-1097-10,דירה בבית,4,28571
8,רעננה,קריית דוד רמז,שברץ 4,91.32,2025,2700000,6581-546-3,דירה בבית,4,29566
9,רעננה,קריית דוד רמז,מכבי 45,74.3,2025,2580000,6580-1108-4,דירה בבית,4,34724
10,רעננה,קריית דוד רמז,בורוכוב 43,95,2025,3400000,6580-26-3,דירה בבית,4,35789
12,רעננה,קריית דוד רמז,קרן היסוד 22,132,2025,3805000,6580-780-13,דירה בבית,5,28826
14,רעננה,קריית דוד רמז,מכבי 30,132,2025,4805000,6580-129-13,דירה בבית,5,36402
15,רעננה,קריית דוד רמז,מכבי 30,119,2025,4352000,6580-129-14,דירה בבית,5,36571
16,רעננה,קריית דוד רמז,בורוכוב 43,75,2025,2766000,6580-26-4,דירה בבית,3,36880
17,רעננה,קריית דוד רמז,בורוכוב 21,119,2025,4070000,6580-36-16,דירה בבית,5,34202
18,רעננה,קריית דוד רמז,תל חי 11,103.35,2025,2850000,6580-760-8,דירה בבית,4,27576
19,רעננה,קריית דוד רמז,תל חי 16,160,2025,5000000,6580-449-9,דירה בבית,5,31250
20,רעננה,קריית דוד רמז,קרן היסוד 22,121.5,2025,3050000,6580-780-17,דירה בבית,5,25103
21,רעננה,קריית דוד רמז,עקיבא 33,119.7,2025,2950000,6581-19-4,דירה בבית,5,24645
22,רעננה,קריית דוד רמז,שברץ 7,58.48,2025,2450000,6581-375-5,דירה בבית,3,41895
23,רעננה,קריית דוד רמז,בר אילן 50,121.49,2025,3150000,6580-858-12,דירה בבית,5,25928
25,רעננה,קריית דוד רמז,החשמונאים 31,139,2025,4450000,6580-613-2,דירה בבית,6,32014
26,רעננה,קריית דוד רמז,בורוכוב 21,95,2025,3605000,6580-36-17,דירה בבית,4,37947
27,רעננה,קריית דוד רמז,הגליל 59,72.2,2025,2600000,6580-752-9,דירה בבית,4,36011
28,רעננה,קריית דוד רמז,בורוכוב 41,106.42,2025,3900000,6580-952-17,דירת,5,36647
29,רעננה,קריית דוד רמז,גולומב 30,99,2025,2800000,6580-757-4,דירה בבית,4,28283
30,רעננה,קריית דוד רמז,אחד העם 13,108,2025,3520000,6581-719-1,דירה בבית,5,32593
31,רעננה,קריית דוד רמז,מכבי 45,73.58,2025,3070000,6580-1108-7,דירה בבית,4,41723
32,רעננה,קריית דוד רמז,החשמונאים 31,139,2025,4320000,6580-613-3,דירה בבית,6,31079
33,רעננה,קריית דוד רמז,מכבי 30,132,2025,4380000,6580-129-15,דירה בבית,5,33182
34,רעננה,קריית דוד רמז,שברץ 9,89,2025,3225000,6581-376-15,דירה בבית,4,36236
35,רעננה,קריית דוד רמז,מכבי 22,97,2025,3125000,6580-133-23,דירה בבית,4,32216
36,רעננה,קריית דוד רמז,בר אילן 32,207,2025,6628500,6580-315-15,דירה בבית,6,32022
37,רעננה,קריית דוד רמז,בורוכוב 43,95,2025,3912000,6580-26-5,דירה בבית,4,41179
38,רעננה,קריית דוד רמז,מכבי 30,122,2025,4034000,6580-129-16,דירה בבית,5,33066
39,רעננה,קריית דוד רמז,קרן היסוד 12,88.51,2025,3000000,6580-853-24,דירה בבית,4,33894
40,רעננה,קריית דוד רמז,הגליל 31,131,2025,4200000,6580-1059-10,דירת,6,32061
42,רעננה,קריית דוד רמז,שברץ 9,122,2025,3050000,6581-376-17,דירה בבית,4,25000
43,רעננה,קריית דוד רמז,מכבי 25,105,2024,3200000,6580-104-8,דירה בבית,4,30476
44,רעננה,קריית דוד רמז,בורוכוב 43,94,2024,3395000,6580-26-7,דירה בבית,4,36117
47,רעננה,קריית דוד רמז,בורוכוב 21,95,2024,2915000,6580-36-7,דירה בבית,3,30684
48,רעננה,קריית דוד רמז,עקיבא 35,97.09,2024,2780000,6581-493-1,דירה בבית,4,28633
49,רעננה,קריית דוד רמז,אליעזר יפה 24,96,2024,3352000,6580-614-5,דירת גן,4,34917
50,רעננה,קריית דוד רמז,אליעזר יפה 24,100,2024,3470000,6580-614-6,דירה בבית,4,34700
51,רעננה,קריית דוד רמז,אחד העם 3,48.9,2024,1891000,6581-803-19,דירה בבית,2,38671
53,רעננה,קריית דוד רמז,קרן היסוד 12,89.4,2024,3020000,6580-853-19,דירה בבית,4,33781
54,רעננה,קריית דוד רמז,מכבי 48,102.94,2024,3180000,6580-120-3,דירה בבית,5,30892
55,רעננה,קריית דוד רמז,היובל 10,89.01,2024,2900000,6580-826-19,דירה בבית,4,32581
56,רעננה,קריית דוד רמז,יפה אליעזר 37,110,2024,2600000,6580-741-5,דירה בבית,4,23636
57,רעננה,קריית דוד רמז,אליעזר יפה 24,110,2024,4290000,6580-614-7,דירה בבית,4,39000
60,רעננה,קריית דוד רמז,עקיבא 9,94.6,2024,2900000,6581-503-2,דירה בבית,4,30655
