מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
42,ירדן 87,157,2023,3520000,12568-219-3,דירה בבית,6,22420
43,ירדן 14,87,2023,932000,12565-69-35,דירה בבית,3,10713
45,ארבל 2,158,2023,1675000,12570-73-3,דירה בבית,6,10601
46,צאלים 78,85.9,2023,1547000,12565-72-4,דירה בבית,4,18009
47,ירדן 12,71.9,2023,1210000,12565-71-9,דירה בבית,3,16829
48,ירדן 10,71.9,2023,1200000,12565-73-10,דירה בבית,3,16690
49,החצבני 6,132.8,2023,3150000,12568-246-7,קוטג' דו משפחתי,6,23720
50,0,226,2023,1950000,12570-30-5,קוטג' דו משפחתי,6,8628
52,צאלים 76,72.65,2023,1000000,12565-70-3,דירה בבית,3,13765
53,שיאון 9,91.2,2023,1200000,12565-44-1,דירה בבית,5,13158
54,הבניאס 2,126.45,2023,2668000,12568-52-1,דירה בבית,5.5,21099
55,ירדן 18,87,2023,1500000,12565-68-38,דירה בבית,3,17241
58,ירדן 18,87,2022,1220000,12565-68-46,דירה בבית,3,14023
60,צאלים 78,74.2,2022,1100000,12565-72-8,דירת גן,3,14825
61,ירדן 14,80,2022,1450000,12565-69-30,דירה בבית,3,18125
62,ירדן 18,87,2022,1500000,12565-68-45,דירה בבית,3,17241
63,0,168,2022,2590000,12568-119-1,קוטג' דו משפחתי,5,15417
64,דן 23,213,2022,2900000,12568-33-4,קוטג' דו משפחתי,5,13615
65,ירדן 33,119.6,2022,2300000,12565-19-1,דירה בבית,5,19231
66,הבניאס 17,120,2022,2260000,12568-76-2,דירה בבית,5,18833
68,אפק 14,134,2022,2660000,12570-25-1,קוטג' דו משפחתי,6,19851
69,צאלים 80,77.1,2022,1200000,12565-74-8,דירה בבית,3,15564
70,ירדן 6,74.8,2022,1050000,12565-77-10,דירה בבית,3,14037
71,ירדן 10,79.3,2022,1130000,12565-73-6,דירה בבית,3,14250
72,שיאון 7,217,2022,2630000,12565-46-2,דירה בבית,6,12120
73,המיצר 3,89.6,2022,1125000,12565-60-10,דירה בבית,4,12556
74,ירדן 20,125,2022,1575000,12565-68-13,דירת גן,5,12600
75,המיצר 9,89.6,2022,1230000,12565-61-14,דירה בבית,4,13728
76,ירדן 14,119,2021,383000,12565-69-32,דירה בבית,4,3218
77,החצבני 31,120.5,2021,1050000,12568-48-2,דירה בבית,6,8714
78,אפק 19,122.5,2021,1523000,12570-41-3,דירה בבית,6,12433
79,ארבל 4,145,2021,2460000,12570-72-2,קוטג' דו משפחתי,5,16966
80,ירדן 16,126,2021,1550000,12565-69-21,דירה בבית,5,12302
81,ירדן 6,85.9,2021,1148000,12565-77-3,דירה בבית,4,13364
82,ירדן 5,119.6,2021,2235000,12565-41-2,דירה בבית,5,18687
83,אפק 4,132,2021,2200000,12570-46-1,קוטג' דו משפחתי,5,16667
84,ירדן 15,86,2021,1800000,12565-51-1,קוטג' דו משפחתי,5,20930
85,שיאון 18,91.7,2021,1810000,12565-36-2,דירה בבית,5,19738
86,ירדן 35,119.6,2021,2100000,12565-21-1,קוטג' דו משפחתי,5,17559
87,ירמוך 9,174.4,2021,3160000,12568-139-1,קוטג' דו משפחתי,5,18119
88,הבניאס 23,112.5,2021,2340000,12568-71-2,דירה בבית,5,20800
89,אפק 21,81,2021,1745000,12570-27-2,דירת גן,5,21543
90,ירדן 16,87,2021,960000,12565-69-17,דירה בבית,3,11034
91,שניר 7,121.35,2021,2530000,12568-154-2,קוטג' חד משפחתי,6,20849
92,החצבני 13,151,2021,2470000,12568-267-8,דירה בבית,5,16358
93,ירדן 12,71.9,2021,1035000,12565-71-10,דירה בבית,3,14395
94,דן 3,132.8,2021,2640000,12568-246-6,דירה בבית,6,19880
95,המיצר 32,110,2021,1760000,12565-59-21,דירה בבית,5,16000
96,המיצר 32,109.82,2021,1790000,12565-59-15,דירת גן,5,16299
97,ירדן 57,122.13,2021,1900000,12568-101-1,דירת גן,5,15557
98,ירדן 20,87,2021,1015000,12565-68-18,דירה בבית,3,11667
99,ירדן 20,133,2021,1250000,12565-68-5,דירה בבית,5,9398
100,דן 12,141,2021,1950000,12568-264-6,דירה בבית,5,13830
101,ירדן 67,118.68,2021,1850000,12568-84-1,קוטג' דו משפחתי,5,15588
102,0,145,2021,2340000,12568-119-2,דירה בבית,5,16138
104,צאלים 86,79.4,2021,1150000,12565-80-6,דירה בבית,4,14484
