מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"880","זלמן שז"ר 28","100","19/11/2009","1870000","2717-20-88","דירה בבית קומות","4","שתים עשרה"
"881","זלמן שז"ר 28","126","18/11/2009","1870000","2717-20-7","דירה","4","שתים עשרה"
"882","זלמן שז"ר 28","126","18/11/2009","2025000","2717-20-89","דירה בבית קומות","4","שלוש עשרה"
"883","זלמן שז"ר 28","126","18/11/2009","2000000","2717-20-6","דירה בבית קומות","4","תשיעית"
"884","זלמן שז"ר 28","126","17/11/2009","2025000","2717-20-5","דירה","4","שלוש עשרה"
"885","זלמן שז"ר 28","126","17/11/2009","2000000","2717-20-4","דירה","4","תשיעית"
"886","זלמן שז"ר 28","126","15/11/2009","1835000","2717-20-90","דירה בבית קומות","4","שביעית"
"887","זלמן שז"ר 28","126","14/11/2009","1835000","2717-20-3","דירה","4","שביעית"
888,חיל השריון 7,94,"2009","1300000",2717-15-5,דירה בבית קומות,4,שלישית
889,חיל הצנחנים 19,74.5,"2009","910000",5037-30-16,דירה בבית קומות,3.5,שלישית
"890","זלמן שז"ר 28","100","04/11/2009","1775000","2717-20-91","דירה בבית קומות","4","שלוש עשרה"
"891","זלמן שז"ר 28","126","03/11/2009","1775000","2717-20-2","דירה","4","שלוש עשרה"
892,חיל הצנחנים 6,96.5,"2009","920000",5037-37-69,דירה בבית קומות,4,חמישית
893,חיל השריון 5,104,"2009","1310000",2717-16-12,דירה בבית קומות,4,ראשונה
"894","זלמן שז"ר 36","98","18/10/2009","1460000","2717-19-5","דירה בבית קומות","4","שביעית"
895,אביחיל 14,125,"2009","2424000",5030-145-1,קוטג' דו משפחתי,5,לא ידוע
"896","זלמן שז"ר 28","100","29/09/2009","1500000","2717-20-92","דירה בבית קומות","4","שלוש עשרה"
"897","זלמן שז"ר 28","126","28/09/2009","1500000","2717-20-1","דירה","4","שלוש עשרה"
898,חיל החימוש 36,101.38,"2009","1570000",2717-21-22,דירה בבית קומות,4,חמישית
899,חיל האוויר 1,168.95,"2009","3274000",2717-36-83,דירה בבית קומות,5,עשרים ושלוש, עשרים וארבע
900,חיל השריון 13,93,"2009","1300000",2717-14-27,דירה בבית קומות,4,שביעית
901,חיל התותחנים 26,100.6,"2009","1680000",2717-23-40,דירה בבית קומות,4,שמינית
902,חיל הצנחנים 17,74.85,"2009","820000",5037-30-105,דירה בבית קומות,3.5,שניה
903,מרדכי היהודי 7,292,"2009","2031000",5030-70-1,קוטג' דו משפחתי,6,לא ידוע
904,חיל האוויר 3,91.95,"2009","1949000",2717-35-35,דירה בבית קומות,4,עשירית
905,חיל החימוש 4,109.56,"2009","1350000",2717-33-29,דירה בבית קומות,5,שישית
906,הדסה 14,185,"2009","2150000",5030-135-1,קוטג' דו משפחתי,6,לא ידוע
907,חיים לנדאו 4,72.1,"2009","600000",5037-46-13,דירה בבית קומות,3,שלישית
908,חיל האוויר 3,98.35,"2009","2775000",2717-35-1,דירה בבית קומות,5,שניה
909,המגילה 36,240,"2009","2271000",5029-81-1,קוטג' חד משפחתי,9,לא ידוע
910,חיל האוויר 5,96.25,"2009","1500000",2717-34-24,דירה בבית קומות,4,שישית
"911","זלמן שז"ר 36","80","23/06/2009","900000","2717-19-18","דירה בבית קומות","3","שלישית"
912,חיל החימוש 15,104,"2009","1490000",2717-18-40,דירה בבית קומות,4,תשיעית
"913","זלמן שז"ר 36","128","15/06/2009","1160000","2717-19-4","דירה בבית קומות","4","שביעית"
914,אביחיל 18,125,"2009","2115000",5030-147-1,קוטג' דו משפחתי,5,לא ידוע
915,חיל האוויר 5,167.8,"2009","2550000",2717-34-83,דירה בבית קומות,5,עשרים ושתים, עשרים ושלוש
916,חיל האוויר 5,96.25,"2009","1280000",2717-34-9,דירה בבית קומות,4,שלישית
917,חיל החימוש 20,140.58,"2009","1750000",2717-6-34,דירה בבית קומות,5,תשיעית
918,חיל האוויר 1,137.9,"2009","2485000",2717-36-82,דירה בבית קומות,6,עשרים ושתים
