מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
59,אור עקיבא,שזר,שזר 810,62.1,2022,1160000,10650-87-9,דירה בבית,3,18680
60,אור עקיבא,שזר,שזר 809,60.7,2022,189000,10650-86-16,דירה בבית,3,3114
61,אור עקיבא,שזר,שזר 819,49,2022,1190000,10650-96-29,דירה בבית,2,24286
62,אור עקיבא,שזר,מנחם ציוני 805,60.7,2022,1100000,10650-82-15,דירה בבית,3,18122
63,אור עקיבא,שזר,שזר 823,60,2022,313000,10650-100-19,דירה בבית,3,5217
64,אור עקיבא,שזר,שזר 815,60.75,2022,1190000,10650-92-14,דירה בבית,3,19588
65,אור עקיבא,שזר,שזר 811,28.6,2022,895000,10650-88-26,דירה בבית,2,31294
66,אור עקיבא,שזר,שזר 820,49,2022,374000,10650-97-21,דירה בבית,2,7633
67,אור עקיבא,שזר,שזר 808,61.2,2022,141000,10650-85-2,דירה בבית,3,2304
68,אור עקיבא,שזר,שזר 803,59.9,2022,1085000,10650-80-25,דירה בבית,3,18114
69,אור עקיבא,שזר,מנחם ציוני 801,72.1,2022,1130000,10650-78-11,דירה בבית,3,15673
70,אור עקיבא,שזר,שזר 821,60.75,2022,900000,10650-98-8,דירה בבית,3,14815
71,אור עקיבא,שזר,שזר 817,60.75,2022,178000,10650-94-14,דירה בבית,3,2930
72,אור עקיבא,שזר,שזר 819,60,2022,1050000,10650-96-18,דירה בבית,3,17500
73,אור עקיבא,שזר,שזר 823,60,2022,491000,10650-100-4,דירה בבית,2,8183
74,אור עקיבא,שזר,שזר 804,77.8,2021,900000,10650-81-9,דירה בבית,4,11568
75,אור עקיבא,שזר,שזר 807,47.2,2021,750000,10650-84-23,דירה בבית,2,15890
76,אור עקיבא,שזר,שזר 810,60.7,2021,900000,10650-87-5,דירה בבית,3,14827
77,אור עקיבא,שזר,שזר 820,49,2021,108000,10650-97-22,דירה בבית,2,2204
78,אור עקיבא,שזר,שזר 803,47,2021,850000,10650-80-9,דירה בבית,3,18085
79,אור עקיבא,שזר,שזר 811,57.9,2021,980000,10650-88-16,דירה בבית,3,16926
80,אור עקיבא,שזר,שזר 802,60.7,2021,890000,10650-79-16,דירה בבית,3,14662
81,אור עקיבא,שזר,שזר 813,61.2,2021,950000,10650-90-16,דירה בבית,3,15523
82,אור עקיבא,שזר,שזר 802,60.7,2021,390000,10650-79-2,דירה בבית,3,6425
83,אור עקיבא,שזר,שזר 807,61.2,2021,253000,10650-84-15,דירה בבית,3,4134
84,אור עקיבא,שזר,שזר 812,77.8,2021,1030000,10650-88-31,דירה בבית,4,13239
85,אור עקיבא,שזר,שזר 819,49,2021,860000,10650-96-10,דירה בבית,2,17551
86,אור עקיבא,שזר,שזר 821,60.75,2021,165000,10650-98-13,דירה בבית,3,2716
87,אור עקיבא,שזר,שזר 820,49,2021,610000,10650-97-12,דירה בבית,2,12449
88,אור עקיבא,שזר,שזר 816,67.43,2021,796000,10650-93-10,דירה בבית,3,11805
89,אור עקיבא,שזר,שזר 813,61.2,2021,850000,10650-90-22,דירה בבית,3,13889
90,אור עקיבא,שזר,הרצל 32,175,2021,2100000,10615-9-2,קוטג' דו משפחתי,6,12000
91,אור עקיבא,שזר,שזר 808,61.2,2021,260000,10650-85-18,דירה בבית,3,4248
92,אור עקיבא,שזר,שזר 819,49,2021,750000,10650-96-27,דירה בבית,2,15306
93,אור עקיבא,שזר,שזר 820,49,2021,638000,10650-97-4,דירה בבית,2,13020
94,אור עקיבא,שזר,מנחם ציוני 805,73.2,2021,850000,10650-82-25,דירה בבית,4,11612
95,אור עקיבא,שזר,שזר 809,60.7,2021,176000,10650-86-8,דירה בבית,3,2900
96,אור עקיבא,שזר,שזר 811,57.9,2021,820000,10650-88-21,דירה בבית,3,14162
97,אור עקיבא,שזר,שזר 823,49,2020,500000,10650-100-20,דירה בבית,3,10204
98,אור עקיבא,שזר,שזר 819,49,2020,700000,10650-96-24,דירה בבית,2,14286
99,אור עקיבא,שזר,שזר 807,61.2,2020,800000,10650-84-10,דירה בבית,3,13072
100,אור עקיבא,שזר,שזר 823,49,2020,650000,10650-100-5,דירה בבית,3,13265
101,אור עקיבא,שזר,שזר 804,77.8,2020,800000,10650-81-11,דירה בבית,4,10283
