מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
274,החורש 6,120.5,"2007","1485000",6578-547-9,דירה בבית קומות,5,שלישית
275,החורש 12,110.84,"2007","1400000",6578-548-16,דירה בבית קומות,4,שלישית
276,החורש 12,119.83,"2007","1770000",6578-548-24,דירה בבית קומות,5,חמישית
277,הזהב 4,150.75,"2006","2350000",6578-549-50,דירה בבית קומות,לא ידוע,ארבע עשרה+ חמש עשרה
278,החורש 12,111.07,"2006","1355000",6578-548-11,דירה בבית קומות,לא ידוע,ראשונה
279,החורש 12,109.52,"2006","1354000",6578-548-10,דירה בבית קומות,לא ידוע,ראשונה
280,יערה 10,164,"2006","3512000",6578-552-47,דירה בבית קומות,6,ארבע עשרה, חמש עשרה
281,החורש 6,120.29,"2006","1530000",6578-547-12,דירה בבית קומות,5,רביעית
282,יערה 10,115,"2006","1564000",6578-552-36,דירה בבית קומות,5,עשירית
283,יערה 10,124,"2006","1697000",6578-552-22,דירה בבית קומות,6,שישית
284,החורש 6,120.66,"2006","1564000",6578-547-7,דירה בבית קומות,5,שלישית
285,החורש 6,100,"2006","1510000",6578-547-31,דירה בבית קומות,5,ראשונה
286,החורש 12,146.67,"2006","2691000",6578-548-28,דירה בבית קומות,5,שביעית+שמינית
287,יערה 10,244,"2006","1808000",6578-552-34,דירה בבית קומות,5,תשיעית, עשירית
288,יערה 10,124,"2006","1659000",6578-552-18,דירה בבית קומות,6,חמישית
289,יערה 10,230,"2006","1581000",6578-552-38,דירה בבית קומות,5,אחת עשרה
290,החורש 12,110.86,"2006","1270000",6578-548-13,דירה בבית קומות,4,שניה
291,רבוצקי 100,120,"2006","1678000",6578-558-12,דירה בבית קומות,5,לא ידוע
292,יערה 12,121,"2006","1400000",6578-551-3,דירה בבית קומות,5,שניה
293,רבוצקי 102,120,"2006","1596000",6578-557-12,דירה בבית קומות,5,לא ידוע
294,החורש 6,100,"2006","2117000",6578-547-27,דירה בבית קומות,4,רביעית + חמישית
295,החורש 6,125.33,"2006","1529000",6578-547-28,דירה בבית קומות,4,רביעית
296,הזהב 4,113,"2006","1445000",6578-549-45,דירה בבית קומות,5,שתים עשרה
297,רבוצקי 102,144,"2006","2135000",6578-557-9,דירה בבית קומות,5,שניה+שלישית
298,יערה 12,113.5,"2006","1547000",6578-551-39,דירה בבית קומות,5,אחת עשרה
299,החורש 6,104.46,"2005","1325000",6578-547-8,דירה בבית קומות,4,שלישית
300,החורש 6,120.38,"2005","1485000",6578-547-6,דירה בבית קומות,5,שניה
301,יערה 10,124,"2005","1619000",6578-552-14,דירה בבית קומות,4,רביעית
302,החורש 6,121.25,"2005","1537000",6578-547-13,דירה בבית קומות,5,חמישית
303,החורש 6,120.66,"2005","1530000",6578-547-10,דירה בבית קומות,5,שלישית
304,יערה 10,124,"2005","1307000",6578-552-26,דירה בבית קומות,5,שביעית
305,יערה 12,143,"2005","1535000",6578-551-1,דירה בבית קומות,6,ראשונה
306,יערה 10,102,"2005","1266000",6578-552-24,דירה בבית קומות,4,שביעית
307,יערה 12,124.4,"2005","1680000",6578-551-31,דירה בבית קומות,5,תשיעית
