מספר סידורי,שם העיר,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
187,קרית שמונה,יקותיאל אדם 4,75.98,2023,242000,13097-52-20,דירה בבית,4,3185
188,קרית שמונה,הר הצופים 4,76.8,2023,770000,13097-8-15,דירה בבית,4,10026
189,קרית שמונה,נחל עורבים 1,100,2023,1190000,14716-37-25,דירה בבית,3,11900
190,קרית שמונה,מלחמת ששת הימים 42,219,2023,1100000,13109-6-2,דירה בבית,6,5023
191,קרית שמונה,אחי אילת 2,64.7,2023,480000,13163-43-5,דירה בבית,4,7419
194,קרית שמונה,מלחמת ששת הימים 69,60,2023,625000,13110-13-2,דירה בבית,3,10417
196,קרית שמונה,הוורדים 128,68,2023,900000,13376-124-3,דירה בבית,3,13235
197,קרית שמונה,הרב יוסף משאש 10,62.8,2023,850000,13196-60-21,דירה בבית,3,13535
198,קרית שמונה,עולי הגרדום 36,61.2,2023,135000,13163-62-1,דירה בבית,4,2206
200,קרית שמונה,עולי הגרדום 9,107,2023,1000000,13162-10-2,דירה בבית,4,9346
201,קרית שמונה,האצל 24,63,2023,880000,13220-6-2,דירה בבית,3,13968
202,קרית שמונה,שפרינצק 22,65.5,2023,840000,13135-120-10,דירה בבית,4,12824
203,קרית שמונה,שפרינצק 22,65.5,2023,760000,13135-120-15,דירה בבית,4,11603
204,קרית שמונה,0,73,2023,400000,13161-172-1,דירה בבית,1,5479
205,קרית שמונה,הרצל 11,71,2023,540000,13145-94-8,דירה בבית,3,7606
206,קרית שמונה,אורן 58,60,2023,525000,14716-44-24,דירה בבית,3,8750
207,קרית שמונה,חצב 11,70.61,2023,750000,13377-5-46,דירה בבית,3,10622
208,קרית שמונה,סאלד 6,77.6,2023,900000,13168-30-17,דירה בבית,4,11598
209,קרית שמונה,הר הצופים 4,76.8,2023,750000,13097-8-17,דירה בבית,4,9766
210,קרית שמונה,0,114,2023,1400000,14084-34-18,דירה בבית,4,12281
211,קרית שמונה,עולי הגרדום 32,61,2023,660000,13163-59-11,דירה בבית,3,10820
212,קרית שמונה,הנרייטה סולד 14,77.6,2023,190000,13167-90-8,דירה בבית,4,2448
213,קרית שמונה,הוורדים 4,81.2,2023,1000000,13379-39-5,דירה בבית,3,12315
214,קרית שמונה,הירדן 24,80.5,2023,241000,13196-67-23,דירה בבית,4,2994
215,קרית שמונה,הוורדים 11,109.64,2023,1220000,13379-32-5,דירה בבית,4,11127
216,קרית שמונה,משמר הגבול 9,64.9,2023,725000,13107-36-5,דירה בבית,4,11171
218,קרית שמונה,נחל סער 1,81,2023,637000,14717-48-6,דירה בבית,4,7864
221,קרית שמונה,סלומונוביץ 11,76.5,2023,1067000,13167-36-7,דירה בבית,4,13948
222,קרית שמונה,ברל 25,86,2023,535000,13110-47-1,דירה בבית,5,6221
223,קרית שמונה,אלעזר פרי 6,62.8,2023,745000,13167-34-5,דירה בבית,3,11863
224,קרית שמונה,האצל 13,106.47,2023,1720000,13397-26-29,דירה בבית,4,16155
225,קרית שמונה,שפרינצק 7,65.9,2023,435000,13195-64-7,דירה בבית,4,6601
226,קרית שמונה,שפרינצק 43,63.5,2023,650000,13135-146-19,דירה בבית,3,10236
227,קרית שמונה,חצב 3,48.4,2023,780000,13378-268-2,דירה בבית,2,16116
228,קרית שמונה,יהודה הלוי 9,74,2023,750000,13107-16-13,דירה בבית,4,10135
229,קרית שמונה,יקותיאל אדם 10,57.4,2023,685000,13097-64-12,דירה בבית,3,11934
231,קרית שמונה,נחל סער 1,81,2023,623000,14717-48-7,דירה בבית,3,7691
232,קרית שמונה,הוורדים 11,99.38,2023,885000,13379-32-8,דירה בבית,4,8905
233,קרית שמונה,נחל סער 13,114,2023,1740000,14717-45-10,דירה בבית,5,15263
235,קרית שמונה,יקותיאל אדם 6,59.6,2023,838000,13097-60-5,דירה בבית,3,14060
236,קרית שמונה,סאלד 16,60.2,2023,228000,13167-88-7,דירה בבית,3,3787
237,קרית שמונה,קרן היסוד 7,59.8,2023,243000,13168-38-7,דירה בבית,3,4064
239,קרית שמונה,המכבים 11,79,2023,770000,13145-95-51,דירה בבית,4,9747
