Area Name,Area ID,Type
"ג'למה שמאלייה","5310152","Street"
"צ'ה גווארה","5310515","Street"
"אל-חריקה","5310142","Street"
"ואדי ת'ור","5310392","Street"
"באב אל-ואדי","5310116","Street"
"תאופיק אל-חכים","5310512","Street"
"ד'אהר אל-עומר","5310141","Street"
"חיר יאסין","5310389","Street"
"עומר אל-ג'רבוני","5310391","Street"
"נגיב מחפוז","5310514","Street"
"עבד אל-והאב","5310509","Street"
"עומר בן אל-ח'טאב","5310138","Street"
"אל-אנדלוס","5310261","Street"
"איחסאן עבד אל-קדוס","5310492","Street"
"א-זעפראן","5310486","Street"
"צור","5310500","Street"
"א-טור","5310212","Street"
"יאפא","5310250","Street"
"אל-אקסא","5310151","Street"
"ואדי חוסיין","5310523","Street"
"אל-בלד","5310470","Street"
"אחמד תאופיק","5310397","Street"
"אל-קודס","5310118","Street"
"א-סלאם","5310239","Street"
"תאופיק זיאד","5310395","Street"
"אל-מידאן","5310166","Street"
"אל-מוס'טפא","5310273","Street"
"ואדי אל-עין","5316740","Street"
"אל-מהד","5310435","Street"
"עכא","5310441","Street"
"אל-ר'רבי","5310524","Street"
"אל-מחט","5310282","Street"
"אל-בוראק","5310201","Street"
"מכה","5310258","Street"
"מאי זיאדה","5310497","Street"
"א-נרג'יס","5310329","Street"
"מרים אל-עד'ראא","5310168","Street"
"אל-ח'לה","5310115","Street"
"א-רוגמה","5310176","Street"
"אל-בסרה","5310471","Street"
"א-רחראח","5310532","Street"
"אל-עקאד","5310503","Street"
"אל-בטוף","5310279","Street"
"אל-עטאר","5310484","Street"
"עות'מאן אבן עפאן","5310211","Street"
"ח'אלד בן אל-וליד","5310227","Street"
"אל-ג'ליל","5310100","Street"
"אל-חוסון","5310162","Street"
"א-נס'ר","5310229","Street"
"עלי בן אבי טאליב","5310189","Street"
"אל-אכלאס","5310188","Street"
"ביר אל-מיי","5310101","Street"
"אל-ג'וזלאן","5310186","Street"
"אל-מועתס'ם","5310155","Street"
"אל-מוכתאר","5310143","Street"
"אל-חבק","5310508","Street"
"א-לוז","5310252","Street"
"טאהא חוסיין","5310440","Street"
"אל-אסלאח","5310232","Street"
"אל-קזאז","5310220","Street"
"עסקלאן","5310268","Street"
"אל-אמל","5310262","Street"
"עיסא אל-חשיש","5310353","Street"
"נוח איבראהים","5310388","Street"
"אבן ח'לדון","5310495","Street"
"איבראהים אל-ח'ליל","5310150","Street"
"אסיל עאסלה","5310382","Street"
"אל-בילאן","5310105","Street"
"א-סנאבל","5310191","Street"
"א-ס'דאקה","5310274","Street"
"א-ריחאן","5310525","Street"
"כניסת א-סיידה","5310165","Street"
"עזה","5310120","Street"
"א-ס'פדי","5310386","Street"
"איליא אבו מאדי","5310494","Street"
"אבו קרעה","5310131","Street"
"אל-בואסל","5310119","Street"
"סייד דרוויש","5310444","Street"
"אל-מותנבי","5310215","Street"
"ג'רש","5310132","Street"
"חיפא","5310259","Street"
"ג'בל אל-ערב","5310178","Street"
"א-שהד","5310434","Street"
"אל-כרז","5310519","Street"
"א-ראיה","5310432","Street"
"א-סווסנה","5310474","Street"
"אל-חג'אר","5310121","Street"
"א-טויל","5310136","Street"
"א-נובלאא","5310180","Street"
"עומר אל-מוכתאר","5310214","Street"
"אל-חנאווייה","5310393","Street"
"ביסאן","5310303","Street"
"ח'ליל א-סכאכיני","5310213","Street"
"ביר א-תנור","5310394","Street"
"א-תעאוון","5310203","Street"
"סעד אבן אבי וקאס'","5310463","Street"
"אל-קאדי","5310174","Street"
"אבו סלאמה","5310456","Street"
"א-שאם","5310507","Street"
"ביירות","5310451","Street"
"אל-וחדאת","5310149","Street"
"אל-מסק","5310462","Street"
"אל-בתרא","5310205","Street"
"אל-מדינה","5310327","Street"
"אסואן","5310275","Street"
"אבו בכר","5310234","Street"
"אל-כרמל","5310255","Street"
"א-רביע","5310113","Street"
"גאנדי","5310458","Street"
"א-זערור","5310520","Street"
"תקרית","5310134","Street"
"אל-עהד","5310293","Street"
"א-שעב","5310169","Street"
"א-תסאמוח","5310313","Street"
"אל-פאראבי","5310237","Street"
"אל-ענאב","5310505","Street"
"אל-ח'נסאא","5310183","Street"
"א-ס'דיק","5310322","Street"
"א-נח'יל","5310253","Street"
"אל-וחדה","5310307","Street"
"טארק בן זיאד","5310499","Street"
"אל-קאהרה","5310469","Street"
"אל-מיעראג'","5310276","Street"
"א-סינדיאן","5310465","Street"
"באב אל-עאמוד","5310108","Street"
"א-רומאן","5310187","Street"
"אל-אומם","5310158","Street"
"א-ס'פא","5310148","Street"
"סלאח א-דין","5310384","Street"
"אל-ג'רמק","5310271","Street"
"אל-מנארה","5310173","Street"
"לוקמאן","5310459","Street"
"חיטין","5310349","Street"
"אל-פרזדק","5310488","Street"
"אל-חכמה","5310256","Street"
"אל-קרוואן","5310461","Street"
"אל-מרג'","5310102","Street"
"אל-בלדיה","5310482","Street"
"אל-ח'ליל","5310104","Street"
"ערפה","5310224","Street"
"מנא","5310306","Street"
"טבריה","5310260","Street"
"אל-מנג'ל","5310251","Street"
"אל-חמרה","5310309","Street"
"א-שיח' יוסוף","5310351","Street"
"א-סרג'","5310436","Street"
"אבן סינא","5310510","Street"
"אל-מרוש","5316750","Street"
"אל-ג'ולאן","5310160","Street"
"נאבלוס","5310287","Street"
"אל-הודהוד","5310481","Street"
"אל-פג'ר","5310296","Street"
"פיירוז","5310478","Street"
"אל-מהא","5310517","Street"
"אל-פוראת","5310128","Street"
"טראבלוס","5310326","Street"
"אל-ג'דיר","5310304","Street"
"אל-אסראא","5310301","Street"
"א-זוקאק","5310298","Street"
"אל-כורום","5310277","Street"
"אל-כרמה","5310452","Street"
"רפח","5310479","Street"
"אחמד בן בלה","5310485","Street"
"קורטובה","5310124","Street"
"אל-חפאיר","5310109","Street"
"אל-הודא","5310197","Street"
"א-רוויס","5310457","Street"
"ספד","5310125","Street"
"אל-האדי","5310221","Street"
"א-דורה","5310204","Street"
"אל-עדל","5310263","Street"
"דג'לה","5310130","Street"
"אל-אג'דאד","5310315","Street"
"אל-מעריפה","5310192","Street"
"אל-ג'אר","5310504","Street"
"ביר אל-חמאם","5310175","Street"
"אל-מאס","5310506","Street"
"אל-מנהל","5310280","Street"
"אל-עריש","5310167","Street"
"באניאס","5310144","Street"
"אל-פורסאן","5310225","Street"
"אל-ביידר","5310445","Street"
"א-נור","5310107","Street"
"עתלית","5310513","Street"
"אל-מג'ד","5310310","Street"
"עדן","5310206","Street"
"מוחמד עראבי","5310533","Street"
"כפר ענאן","5310449","Street"
"סינאא","5310443","Street"
"פאטמה א-זהראא","5310210","Street"
"עמאר בן יאסר","5310498","Street"
"צידון","5310501","Street"
"א-סג'רה","5310126","Street"
"אל-ואחה","5310272","Street"
"א-ראזי","5310139","Street"
"אל-עין","5310496","Street"
"אל-בסאתין","5310311","Street"
"אל-מנת'ור","5310522","Street"
"אל-ח'רובה","5310127","Street"
"א-זיתון","5310318","Street"
"א-נאקורה","5310453","Street"
"א-לוד","5310446","Street"
"אל-אח'אא","5310312","Street"
"אל-ביאן","5310137","Street"
"אל-ביר","5310249","Street"
"אבן אל-היית'ם","5310247","Street"
"אל-קסטל","5310281","Street"
"טלחה בן א-זוביר","5310231","Street"
"משטה","5310531","Street"
"א-ריאחין","5310245","Street"
"אל-ופאא","5310244","Street"
"אל-מטל","5310468","Street"
"א-סראט","5310200","Street"
"אל-כוארזמי","5310217","Street"
"אל-חנאן","5310164","Street"
"אל-עלם","5310347","Street"
"אל-אמיר","5310241","Street"
"אבן א-נפיס","5310242","Street"
"אל-מנאהיל","5310333","Street"
"אל-פארוק","5310179","Street"
"אל-פרדוס","5310473","Street"
"תוניס","5310195","Street"
"אל-עולא","5310238","Street"
"סיבוויה","5310490","Street"
"ראס אל-עין","5310226","Street"
"אריחא","5310122","Street"
"אל-ג'בל","5310133","Street"
"דמשק","5310147","Street"
"עמרו אבן אל-עאס","5310190","Street"
"א-נקב","5310193","Street"
"א-תאובה","5310240","Street"
"א-רחמה","5310248","Street"
"אום אל-קורא","5310254","Street"
"אל-ערין","5310284","Street"
"אל-אמין","5310286","Street"
"חלב","5310438","Street"
"אל-ורד","5310398","Street"
"אל-ג'זאיר","5310472","Street"
"א-סראג'","5310314","Street"
"אל-אנואר","5310339","Street"
"מראקש","5310454","Street"
"א-ס'פס'אף","5310466","Street"
"אל-קנדול","5310502","Street"
"א-שיח' עיסא","5310534","Street"
"חאפז איבראהים","5310511","Street"
"עלי א-סח","5310352","Street"
"אל-ימן","5310153","Street"
"אל-ג'דבאן","5310182","Street"
"אל-ר'וסון","5310334","Street"
"אבן רושד","5310184","Street"
"אל-המם","5310346","Street"
"נלסון מנדלה","5310483","Street"
"אל-אזהאר","5310340","Street"
